Carmelo,Anthony,Kristaps,Porzingis,Joakim,Noah,Courtney,Lee,Derrick,Rose,Brandon,Jennings,Kyle,O'Quinn,Lance,Thomas,Justin,Holiday,Willy,Hernangomez,Sasha,Vujacic,Mindaugas,Kuzminskas,Ron,Baker
LeBron,James,Kevin,Love,Tristan,Thompson,JR,Smith,Kyrie,Irving,Richard,Jefferson,Iman,Shumpert,Mike,Dunleavy,Channing,Frye,Jordan,McRae,DeAndre,Liggins,Chris,Andersen,James,Jones
Start of Q1
12:00,,Jump Ball Thompson vs. Noah: Tip to Rose
11:40 2 - 0,Rose 1' Driving Layup (2 PTS) (Noah 1 AST),
11:26,,MISS Love 4' Hook Shot
11:23,Noah REBOUND (Off:0 Def:1),
11:16,MISS Anthony 20' Jump Shot,
11:15,Porzingis REBOUND (Off:1 Def:0),
11:15 4 - 0,Porzingis 2' Tip Layup Shot (2 PTS),
10:59 4 - 2,,James 11' Jump Shot (2 PTS) (Irving 1 AST)
10:58,Rose Out of Bounds Lost Ball Turnover (P1.T1),
10:46,,MISS Irving 25' 3PT Jump Shot
10:45,Lee REBOUND (Off:0 Def:1),
10:34,MISS Lee 18' Jump Shot,
10:33,,Love REBOUND (Off:0 Def:1)
10:21,,MISS Love 25' 3PT Jump Shot
10:21,Noah REBOUND (Off:0 Def:2),
10:11,Noah OFF.Foul (P1) (B.Kennedy),
10:11,Noah Foul Turnover (P1.T2),
9:59 4 - 4,,Smith Cutting Layup Shot (2 PTS) (James 1 AST)
9:47,MISS Porzingis 16' Jump Shot,
9:47,Noah REBOUND (Off:1 Def:2),
9:44,,James S.FOUL (P1.T1) (K.Lane)
9:44 5 - 4,Porzingis Free Throw 1 of 2 (3 PTS),
9:44,MISS Porzingis Free Throw 2 of 2,
9:44,,Thompson REBOUND (Off:0 Def:1)
9:33,,MISS Love 20' Jump Shot
9:32,,Irving REBOUND (Off:1 Def:0)
9:27,,MISS James 25' 3PT Jump Shot
9:27,Noah REBOUND (Off:1 Def:3),
9:18,MISS Rose 12' Floating Jump Shot,
9:16,Rose REBOUND (Off:1 Def:0),
9:08,MISS Lee 25' 3PT Jump Shot,
9:07,Anthony REBOUND (Off:1 Def:0),
9:07,MISS Anthony 1' Tip Layup Shot,
9:06,,Love REBOUND (Off:0 Def:2)
8:58,Porzingis BLOCK (1 BLK),MISS Thompson 9' Turnaround Jump Shot
8:56,Anthony REBOUND (Off:1 Def:1),
8:47 7 - 4,Anthony 16' Jump Shot (2 PTS),
8:16,,MISS James 25' 3PT Jump Shot
8:15,Porzingis REBOUND (Off:1 Def:1),
8:09,MISS Rose 1' Layup,
8:06,,James REBOUND (Off:0 Def:1)
8:01,,MISS Irving Layup
8:01,,CAVALIERS Rebound
7:56 7 - 7,,Smith 25' 3PT Jump Shot (5 PTS) (James 2 AST)
7:42,Anthony Bad Pass Turnover (P1.T3),Love STEAL (1 STL)
7:33,,MISS Smith 24' 3PT Jump Shot
7:32,Rose REBOUND (Off:1 Def:1),
7:28,,CAVALIERS Timeout: Regular (Full 1 Short 0)
7:12 10 - 7,Anthony 3PT Jump Shot (5 PTS) (Rose 1 AST),
7:03,Anthony P.FOUL (P1.T1) (B.Kennedy),
6:52,,MISS Smith 26' 3PT Jump Shot
6:52,,James REBOUND (Off:1 Def:1)
6:48 10 - 9,,Love 2' Driving Layup (2 PTS) (James 3 AST)
6:48,Porzingis S.FOUL (P1.T2) (B.Adams),
6:48 10 - 10,,Love Free Throw 1 of 1 (3 PTS)
6:24,MISS Noah Layup,
6:24,,Smith REBOUND (Off:0 Def:1)
6:13 10 - 12,,Irving 15' Jump Shot (2 PTS) (James 4 AST)
6:02,Rose Lost Ball Turnover (P2.T4),Irving STEAL (1 STL)
5:56 10 - 14,,James 1' Running Layup (4 PTS) (Love 1 AST)
5:38 12 - 14,Anthony 23' Jump Shot (7 PTS),
5:25,Rose BLOCK (1 BLK),MISS Irving 2' Driving Layup
5:25,,CAVALIERS Rebound
5:25,,SUB: Jefferson FOR Love
5:25,SUB: Jennings FOR Rose,
5:25,SUB: O'Quinn FOR Noah,
5:16,,MISS Smith 18' Turnaround Jump Shot
5:14,Jennings REBOUND (Off:0 Def:1),
5:05,MISS Porzingis Driving Layup,
5:03,,Thompson REBOUND (Off:0 Def:2)
5:00,,MISS Irving 1' Layup
5:00,Knicks Rebound,
4:34,MISS Jennings 20' Jump Shot,
4:34,,James REBOUND (Off:1 Def:2)
4:34,O'Quinn P.FOUL (P1.T3) (B.Adams),
4:25,Knicks T.Foul (Def. 3 Sec O'Quinn ) (B.Kennedy),
4:25 12 - 15,,Irving Free Throw Technical (3 PTS)
4:25,SUB: Thomas FOR Porzingis,
4:25,,SUB: Shumpert FOR Smith
4:16 12 - 17,,Irving 2' Driving Layup (5 PTS)
4:05 14 - 17,Anthony Alley Oop Dunk (9 PTS) (O'Quinn 1 AST),
3:49,O'Quinn BLOCK (1 BLK),MISS Irving 2' Driving Layup
3:46,,Shumpert REBOUND (Off:1 Def:0)
3:41,,MISS Jefferson 25' 3PT Jump Shot
3:37,,James REBOUND (Off:2 Def:2)
