Harrison,Barnes,Dirk,Nowitzki,Andrew,Bogut,Wesley,Matthews,Deron,Williams,J.J.,Barea,Justin,Anderson,Dwight,Powell,Seth,Curry,Quincy,Acy,Nicolas,Brussino,Dorian,Finney-Smith
Paul,George,Thaddeus,Young,Myles,Turner,Monta,Ellis,Jeff,Teague,Rodney,Stuckey,Lavoy,Allen,Al,Jefferson,Joe,Young,Glenn,Robinson III,CJ,Miles
Start of Q1
12:00,,Jump Ball Turner vs. Bogut: Tip to Young
11:46 0 - 2,,Turner 3' Cutting Dunk Shot (2 PTS) (Teague 1 AST)
11:29,MISS Nowitzki 16' Turnaround Jump Shot,
11:29,,Ellis REBOUND (Off:0 Def:1)
11:22 0 - 4,,Young Layup (2 PTS) (Ellis 1 AST)
11:10,Nowitzki Lost Ball Turnover (P1.T1),Teague STEAL (1 STL)
11:04 0 - 6,,Young 2' Layup (4 PTS) (Teague 2 AST)
11:04,Mavericks Timeout: Short (Reg.0 Short 1),
10:55 3 - 6,Barnes 3PT Jump Shot (3 PTS) (D. Williams 1 AST),
10:38 3 - 8,,Ellis 3' Driving Finger Roll Layup (2 PTS)
10:32,D. Williams Lost Ball Turnover (P1.T2),Teague STEAL (2 STL)
10:32,Bogut Personal Take Foul (P1.T1) (T.Ford),
10:21 3 - 10,,George 4' Running Jump Shot (2 PTS)
10:05,MISS D. Williams 5' Jump Shot,
10:04,,Teague REBOUND (Off:0 Def:1)
9:51,,MISS Teague 28' 3PT Jump Shot
9:50,Bogut REBOUND (Off:0 Def:1),
9:34,MISS Bogut 9' Hook Shot,
9:34,,George REBOUND (Off:0 Def:1)
9:22,,Turner OFF.Foul (P1) (T.Ford)
9:22,,Turner Foul Turnover (P1.T1)
9:10 5 - 10,Bogut 6' Hook Shot (2 PTS),
9:01,,MISS Young 16' Jump Shot
9:00,Matthews REBOUND (Off:0 Def:1),
8:58,Matthews Bad Pass Turnover (P1.T3),Ellis STEAL (1 STL)
8:51,Nowitzki STEAL (1 STL),Ellis Lost Ball Turnover (P1.T2)
8:46,Nowitzki Out of Bounds - Bad Pass Turnover Turnover (P2.T4),
8:26,Matthews STEAL (1 STL),Ellis Lost Ball Turnover (P2.T3)
8:26,,Ellis L.B.FOUL (P1.T1) (J.Tiven)
8:26,,
8:14 7 - 10,Bogut 4' Alley Oop Dunk (4 PTS) (D. Williams 2 AST),
8:01 7 - 12,,Ellis 18' Jump Shot (4 PTS) (Teague 3 AST)
7:44,MISS Matthews 18' Pullup Jump Shot,
7:42,Bogut REBOUND (Off:1 Def:1),
7:42,MISS Bogut 1' Tip Layup Shot,
7:41,,Young REBOUND (Off:0 Def:1)
7:34 7 - 15,,Ellis 25' 3PT Jump Shot (7 PTS) (Young 1 AST)
7:27,MISS Barnes 26' 3PT Jump Shot,
7:27,,Ellis REBOUND (Off:0 Def:2)
7:16,,MISS George 18' Step Back Jump Shot
7:15,Bogut REBOUND (Off:1 Def:2),
7:01,,Teague P.FOUL (P1.T2) (T.Ford)
7:01,SUB: Barea FOR Nowitzki,
6:57,,George P.FOUL (P1.T3) (J.Tiven)
6:50 10 - 15,D. Williams 27' 3PT Jump Shot (3 PTS) (Barea 1 AST),
6:33,Matthews S.FOUL (P1.T2) (J.Tiven),
6:33 10 - 16,,Teague Free Throw 1 of 2 (1 PTS)
6:33 10 - 17,,Teague Free Throw 2 of 2 (2 PTS)
6:16,MISS Barnes 11' Turnaround Jump Shot,
6:16,,George REBOUND (Off:0 Def:2)
6:03,,MISS Young 6' Driving Hook Shot
6:02,Barea REBOUND (Off:0 Def:1),
5:55,MISS Matthews 27' 3PT Jump Shot,
5:54,,George REBOUND (Off:0 Def:3)
5:47,Bogut BLOCK (1 BLK),MISS Turner 1' Layup
5:45,,Turner REBOUND (Off:1 Def:0)
5:41,,MISS George 24' 3PT Jump Shot
5:41,Bogut REBOUND (Off:1 Def:3),
5:28,Barnes Lost Ball Turnover (P1.T5),Ellis STEAL (2 STL)
5:24 10 - 19,,Teague 4' Running Layup (4 PTS) (Ellis 2 AST)
5:24,D. Williams S.FOUL (P1.T3) (B.Kennedy),
5:24,,PACERS Timeout: Regular (Full 1 Short 0)
5:24,,MISS Teague Free Throw 1 of 1
5:24,Barnes REBOUND (Off:0 Def:1),
5:10 13 - 19,D. Williams 3PT Jump Shot (6 PTS) (Barea 2 AST),
4:52,,MISS Turner 20' Jump Shot
4:52,D. Williams REBOUND (Off:0 Def:1),
4:41 15 - 19,D. Williams 1' Layup (8 PTS) (Bogut 1 AST),
4:25,Barnes P.FOUL (P1.T4) (T.Ford),
4:25,,SUB: Stuckey FOR Teague
4:15 15 - 21,,George 3' Cutting Dunk Shot (4 PTS) (Young 2 AST)
3:57 17 - 21,Barnes Driving Finger Roll Layup (5 PTS),
3:40,,MISS George 17' Pullup Jump Shot
3:39,Matthews REBOUND (Off:0 Def:2),
3:31,MISS Matthews 2' Driving Reverse Layup,
3:31,,Turner REBOUND (Off:1 Def:1)
3:24,,MISS Young 2' Layup
3:22,D. Williams REBOUND (Off:0 Def:2),
3:04,MISS Matthews 27' 3PT Jump Shot,
3:04,,Turner REBOUND (Off:1 Def:2)
2:48 17 - 23,,Young Cutting Dunk Shot (6 PTS) (George 1 AST)
2:48,Mavericks Timeout: Regular (Reg.1 Short 1),
2:48,SUB: Anderson FOR Barnes,
2:48,SUB: Powell FOR Bogut,
2:48,SUB: Curry FOR Matthews,
2:48,SUB: Nowitzki FOR D. Williams,
2:48,,SUB: Allen FOR Young
2:48,,SUB: Jefferson FOR Turner
2:35,MISS Curry 28' 3PT Jump Shot,
2:34,Powell REBOUND (Off:1 Def:0),
2:34,,Allen L.B.FOUL (P1.T4) (J.Tiven)
2:27,MISS Powell Reverse Layup,
2:26,,Jefferson REBOUND (Off:0 Def:1)
2:12 17 - 25,,Allen 1' Cutting Layup Shot (2 PTS) (George 2 AST)
2:00 19 - 25,Barea Driving Finger Roll Layup (2 PTS),
1:45,,MISS Jefferson 16' Jump Shot
1:44,,Allen REBOUND (Off:1 Def:0)
1:41 19 - 28,,George 26' 3PT Jump Shot (7 PTS) (Allen 1 AST)
1:31,,SUB: Young FOR Ellis
1:13,MISS Nowitzki 3PT Jump Shot,
1:12,,Stuckey REBOUND (Off:0 Def:1)
1:09 19 - 30,,Stuckey 1' Running Layup (2 PTS)
1:09,Curry Shooting Block Foul (P1.PN) (J.Tiven),
1:09,,MISS Stuckey Free Throw 1 of 1
1:09,Curry REBOUND (Off:0 Def:1),
0:50,MISS Anderson 27' 3PT Jump Shot,
0:50,,Allen REBOUND (Off:1 Def:1)
0:39,,MISS George 2' Driving Layup
0:39,,Jefferson REBOUND (Off:1 Def:1)
0:39 19 - 32,,Jefferson 2' Putback Layup (2 PTS)
0:29,MISS Barea 26' 3PT Pullup Jump Shot,
0:29,Anderson REBOUND (Off:1 Def:0),
0:29 21 - 32,Anderson 2' Putback Dunk (2 PTS),
0:08,Curry P.FOUL (P2.PN) (T.Ford),
0:08,,MISS Stuckey Free Throw 1 of 2
0:08,,PACERS Rebound
0:08,,SUB: Robinson III FOR George
0:08,SUB: D. Williams FOR Curry,
0:08,,SUB: Turner FOR Jefferson
0:08 21 - 33,,Stuckey Free Throw 2 of 2 (3 PTS)
0:02,MISS Barea 1' Reverse Layup,
0:00,Powell REBOUND (Off:2 Def:0),
0:00 21 - 33,,
Start of Q2
11:43,MISS Nowitzki 17' Jump Shot,
11:43,,Allen REBOUND (Off:1 Def:2)
11:23,,MISS Jefferson 5' Jump Shot
11:22,Curry REBOUND (Off:0 Def:2),
11:14,,Young Shooting Block Foul (P1.T1) (J.Tiven)
11:14 22 - 33,Barea Free Throw 1 of 2 (3 PTS),
11:14 23 - 33,Barea Free Throw 2 of 2 (4 PTS),
10:56,Curry STEAL (1 STL),Stuckey Lost Ball Turnover (P1.T4)
10:43 26 - 33,Nowitzki 24' 3PT Jump Shot (3 PTS) (Anderson 1 AST),
10:29,,MISS Robinson III 17' Jump Shot
10:28,Powell REBOUND (Off:2 Def:1),
10:21,MISS Nowitzki 27' 3PT Jump Shot,
10:21,,Stuckey REBOUND (Off:0 Def:2)
10:14,,PACERS Timeout: Regular (Full 2 Short 0)
10:14,,SUB: Young FOR Allen
10:04 26 - 35,,Jefferson 6' Jump Shot (4 PTS)
10:04,Powell S.FOUL (P1.T1) (B.Kennedy),
10:04,,SUB: Teague FOR Young
10:04 26 - 36,,Jefferson Free Throw 1 of 1 (5 PTS)
9:46,MISS Nowitzki 13' Fadeaway Jumper,
9:45,,Jefferson REBOUND (Off:1 Def:2)
9:39,,MISS Young Reverse Layup
9:39,Mavericks Rebound,
9:29 29 - 36,Barea 27' 3PT Pullup Jump Shot (7 PTS),
9:07,,MISS Jefferson 7' Jump Shot
9:06,Anderson REBOUND (Off:1 Def:1),
