Tobias,Harris,Marcus,Morris,Andre,Drummond,Kentavious,Caldwell-Pope,Ish,Smith,Aron,Baynes,Jon,Leuer,Beno,Udrih,Stanley,Johnson,Boban,Marjanovic,Michael,Gbinije,Henry,Ellenson
DeMarre,Carroll,Pascal,Siakam,Jonas,Valanciunas,DeMar,DeRozan,Kyle,Lowry,Terrence,Ross,Patrick,Patterson,Cory,Joseph,Jakob,Poeltl,Norman,Powell
Start of Q1
12:00,,Jump Ball Valanciunas vs. Drummond: Tip to Smith
11:45 2 - 0,Caldwell-Pope 18' Jump Shot (2 PTS),
11:25 2 - 2,,DeRozan 4' Driving Floating Jump Shot (2 PTS)
11:12 5 - 2,Marc Morris 25' 3PT Pullup Jump Shot (3 PTS) (Smith 1 AST),
10:53 5 - 4,,Valanciunas Driving Dunk (2 PTS)
10:46,Pistons Timeout: Regular (Reg.1 Short 0),
10:36 7 - 4,Harris 5' Turnaround Hook Shot (2 PTS),
10:16,Caldwell-Pope STEAL (1 STL),DeRozan Bad Pass Turnover (P1.T1)
10:10 9 - 4,Drummond 3' Running Layup (2 PTS) (Smith 2 AST),
10:04,,Lowry Out of Bounds - Bad Pass Turnover Turnover (P1.T2)
9:51 11 - 4,Marc Morris 5' Driving Bank Hook Shot (5 PTS),
9:31,,MISS DeRozan 18' Jump Shot
9:31,Harris REBOUND (Off:0 Def:1),
9:22,MISS Smith 21' Pullup Jump Shot,
9:21,,Siakam REBOUND (Off:0 Def:1)
9:14,Drummond P.FOUL (P1.T1) (M.Ayotte),
9:07,,MISS Lowry 15' Step Back Jump Shot
9:06,,Valanciunas REBOUND (Off:1 Def:0)
9:04,Marc Morris S.FOUL (P1.T2) (D.Collins),
9:04 11 - 5,,Valanciunas Free Throw 1 of 2 (3 PTS)
9:04 11 - 6,,Valanciunas Free Throw 2 of 2 (4 PTS)
8:48,MISS Harris 13' Pullup Jump Shot,
8:48,,Lowry REBOUND (Off:0 Def:1)
8:43,Drummond S.FOUL (P2.T3) (M.Ayotte),
8:43 11 - 7,,Valanciunas Free Throw 1 of 2 (5 PTS)
8:43,SUB: Baynes FOR Drummond,
8:43 11 - 8,,Valanciunas Free Throw 2 of 2 (6 PTS)
8:29,MISS Caldwell-Pope 21' Jump Shot,
8:29,,Siakam REBOUND (Off:0 Def:2)
8:23,Baynes S.FOUL (P1.T4) (D.Collins),
8:23 11 - 9,,Valanciunas Free Throw 1 of 2 (7 PTS)
8:23 11 - 10,,Valanciunas Free Throw 2 of 2 (8 PTS)
8:12,,Carroll P.FOUL (P1.T1) (J.Capers)
8:05 13 - 10,Smith 17' Pullup Jump Shot (2 PTS),
7:46,,MISS Valanciunas 15' Turnaround Jump Shot
7:46,Harris REBOUND (Off:0 Def:2),
7:37,MISS Harris 9' Driving Floating Jump Shot,
7:37,,Valanciunas REBOUND (Off:1 Def:1)
7:18 13 - 12,,DeRozan 13' Turnaround Jump Shot (4 PTS)
7:06,MISS Caldwell-Pope 11' Driving Floating Jump Shot,
7:05,,Siakam REBOUND (Off:0 Def:3)
6:47 13 - 14,,DeRozan 5' Driving Floating Bank Jump Shot (6 PTS)
6:33,MISS Marc Morris 25' 3PT Pullup Jump Shot,
6:32,,Carroll REBOUND (Off:0 Def:1)
6:24 13 - 16,,DeRozan 4' Driving Layup (8 PTS)
6:24,Baynes S.FOUL (P2.PN) (J.Capers),
6:24 13 - 17,,DeRozan Free Throw 1 of 1 (9 PTS)
6:14,,Carroll P.FOUL (P2.T2) (J.Capers)
6:14,,SUB: Ross FOR Carroll
6:03,MISS Marc Morris 24' 3PT Jump Shot,
6:03,,RAPTORS Rebound
5:49,,MISS Lowry 16' Jump Bank Shot
5:49,Harris REBOUND (Off:0 Def:3),
5:40 15 - 17,Smith 20' Pullup Jump Shot (4 PTS) (Harris 1 AST),
5:29,,MISS Lowry 5' Fadeaway Bank Shot
5:29,Harris REBOUND (Off:0 Def:4),
5:20 17 - 17,Baynes 17' Jump Shot (2 PTS) (Marc Morris 1 AST),
5:14,,RAPTORS Timeout: Regular (Full 1 Short 0)
5:14,SUB: Leuer FOR Marc Morris,
5:08,,MISS DeRozan 19' Jump Shot
5:08,Smith REBOUND (Off:0 Def:1),
4:52,MISS Leuer 9' Jump Shot,
4:52,Pistons Rebound,
4:52,,Ross L.B.FOUL (P1.T3) (J.Capers)
4:32,MISS Caldwell-Pope 16' Pullup Jump Shot,
4:32,,RAPTORS Rebound
4:31,Leuer L.B.FOUL (P1.PN) (D.Collins),
4:31 17 - 18,,Valanciunas Free Throw 1 of 2 (9 PTS)
4:31 17 - 19,,Valanciunas Free Throw 2 of 2 (10 PTS)
4:10,MISS Smith 21' Pullup Jump Shot,
4:10,,Siakam REBOUND (Off:0 Def:4)
3:58 17 - 21,,Lowry 7' Pullup Jump Shot (2 PTS)
3:41,Harris Bad Pass Turnover (P1.T1),Siakam STEAL (1 STL)
3:25 17 - 23,,Ross 7' Driving Hook Shot (2 PTS) (Lowry 1 AST)
3:01,MISS Leuer 21' Jump Shot,
3:01,,Valanciunas REBOUND (Off:1 Def:2)
2:51 17 - 25,,Siakam 6' Driving Hook Shot (2 PTS) (Lowry 2 AST)
2:45,Pistons Timeout: Short (Reg.1 Short 1),
2:45,,SUB: Patterson FOR Siakam
2:45,,SUB: Joseph FOR Lowry
2:45,SUB: Udrih FOR Caldwell-Pope,
2:45,SUB: Johnson FOR Smith,
2:31 19 - 25,Harris 6' Driving Floating Bank Jump Shot (4 PTS),
2:14,,MISS DeRozan 3' Turnaround Bank Hook Shot
2:14,Leuer REBOUND (Off:0 Def:1),
2:04,MISS Johnson 15' Pullup Jump Shot,
2:04,,Ross REBOUND (Off:0 Def:1)
1:55 19 - 27,,DeRozan 2' Driving Reverse Layup (11 PTS) (Ross 1 AST)
1:41,MISS Baynes 17' Jump Shot,
1:40,,Joseph REBOUND (Off:0 Def:1)
1:29,Johnson S.FOUL (P1.PN) (D.Collins),
1:29 19 - 28,,DeRozan Free Throw 1 of 2 (12 PTS)
1:29,,SUB: Poeltl FOR Valanciunas
1:29 19 - 29,,DeRozan Free Throw 2 of 2 (13 PTS)
1:16,Harris OFF.Foul (P1) (M.Ayotte),
1:16,Harris Foul Turnover (P2.T2),
1:06,Harris STEAL (1 STL),DeRozan Lost Ball Turnover (P2.T3)
1:01 21 - 29,Harris Running Dunk (6 PTS),
0:49,,MISS Patterson 20' Jump Shot
0:49,Johnson REBOUND (Off:0 Def:1),
0:38,Leuer Bad Pass Turnover (P1.T3),Ross STEAL (1 STL)
0:35 21 - 31,,Joseph 3' Running Layup (2 PTS) (Ross 2 AST)
0:16,,DeRozan Shooting Block Foul (P1.T4) (D.Collins)
0:16 22 - 31,Harris Free Throw 1 of 2 (7 PTS),
0:16 23 - 31,Harris Free Throw 2 of 2 (8 PTS),
0:01,Udrih S.FOUL (P1.PN) (D.Collins),
0:01 23 - 32,,DeRozan Free Throw 1 of 2 (14 PTS)
0:01 23 - 33,,DeRozan Free Throw 2 of 2 (15 PTS)
0:00 23 - 33,,
Start of Q2
11:47,,MISS Ross 13' Pullup Jump Shot
11:47,,Poeltl REBOUND (Off:1 Def:0)
11:45,,MISS Poeltl 2' Tip Layup Shot
11:43,,Poeltl REBOUND (Off:2 Def:0)
11:43,,MISS Poeltl 2' Putback Layup
11:43,Johnson REBOUND (Off:0 Def:2),
11:38,,Poeltl S.FOUL (P1.T1) (D.Collins)
11:38 24 - 33,Udrih Free Throw 1 of 2 (1 PTS),
11:38,SUB: Caldwell-Pope FOR Johnson,
11:38 25 - 33,Udrih Free Throw 2 of 2 (2 PTS),
11:29,Leuer S.FOUL (P2.T1) (D.Collins),
11:29 25 - 34,,Patterson Free Throw 1 of 2 (1 PTS)
11:29,,MISS Patterson Free Throw 2 of 2
11:27,Leuer REBOUND (Off:0 Def:2),
11:12,Marc Morris Lost Ball Turnover (P1.T4),Ross STEAL (2 STL)
11:04,,MISS Lowry 26' 3PT Step Back Jump Shot
11:03,Pistons Rebound,
11:02,,Poeltl L.B.FOUL (P2.T2) (J.Capers)
10:44 27 - 34,Marc Morris 18' Pullup Jump Shot (7 PTS) (Udrih 1 AST),
10:26,,MISS Lowry 26' 3PT Jump Shot
10:25,Leuer REBOUND (Off:0 Def:3),
10:15,MISS Udrih 16' Step Back Jump Shot,
10:14,,Ross REBOUND (Off:0 Def:2)
10:09,,Joseph Out of Bounds Lost Ball Turnover (P1.T4)
9:52,MISS Marjanovic 10' Jump Shot,
9:51,Marc Morris REBOUND (Off:1 Def:0),
9:50,MISS Marc Morris 3' Tip Layup Shot,
9:49,,Ross REBOUND (Off:0 Def:3)
9:43,Marjanovic STEAL (1 STL),Ross Bad Pass Turnover (P1.T5)
9:38,,Ross P.FOUL (P2.T3) (J.Capers)
9:28 29 - 34,Marc Morris 3' Cutting Layup Shot (9 PTS) (Udrih 2 AST),
9:28,,Poeltl S.FOUL (P3.T4) (D.Collins)
9:28,,SUB: Valanciunas FOR Poeltl
9:28,,SUB: Carroll FOR Ross
9:28 30 - 34,Marc Morris Free Throw 1 of 1 (10 PTS),
9:07,,MISS Patterson 15' Pullup Jump Shot
9:07,Marc Morris REBOUND (Off:1 Def:1),
8:57,MISS Udrih 18' Pullup Jump Shot,
8:57,,Carroll REBOUND (Off:0 Def:2)
8:46,Caldwell-Pope S.FOUL (P1.T2) (D.Collins),
8:46,,
8:46 30 - 35,,Carroll Free Throw 1 of 2 (1 PTS)
8:46,,MISS Carroll Free Throw 2 of 2
8:46,,RAPTORS Rebound
8:46,Marjanovic L.B.FOUL (P1.T3) (J.Capers),
8:26,,MISS Carroll 25' 3PT Jump Shot
8:25,Leuer REBOUND (Off:0 Def:4),
8:12,MISS Leuer 9' Driving Bank Hook Shot,
8:12,,Valanciunas REBOUND (Off:1 Def:3)
8:03,,MISS Joseph 10' Driving Floating Jump Shot
8:02,Marjanovic REBOUND (Off:0 Def:1),
7:50,MISS Marc Morris 17' Jump Shot,
7:50,,Patterson REBOUND (Off:0 Def:1)
7:35 30 - 37,,Valanciunas 17' Jump Shot (12 PTS) (Lowry 3 AST)
7:35,,RAPTORS Violation: Delay of game Violation
7:10,MISS Udrih 26' 3PT Jump Shot,
7:09,,Lowry REBOUND (Off:0 Def:2)
6:57 30 - 39,,Valanciunas Driving Dunk (14 PTS) (Patterson 1 AST)
6:57,Marjanovic S.FOUL (P2.T4) (M.Ayotte),
6:57,SUB: Harris FOR Marjanovic,
6:57,SUB: Baynes FOR Leuer,
6:57,SUB: Smith FOR Udrih,
6:57,,MISS Valanciunas Free Throw 1 of 1
6:56,Marc Morris REBOUND (Off:1 Def:2),
6:39 32 - 39,Harris 9' Jump Shot (10 PTS) (Caldwell-Pope 1 AST),
6:29,,MISS Joseph 3' Layup
6:28,,Valanciunas REBOUND (Off:2 Def:3)
6:27,,MISS Valanciunas 3' Tip Layup Shot
6:26,,Valanciunas REBOUND (Off:3 Def:3)
6:26,Baynes S.FOUL (P3.PN) (D.Collins),
6:26 32 - 40,,Valanciunas Free Throw 1 of 2 (15 PTS)
6:26,,SUB: DeRozan FOR Joseph
6:26,,MISS Valanciunas Free Throw 2 of 2
6:25,Baynes REBOUND (Off:0 Def:1),
6:11 34 - 40,Marc Morris 19' Pullup Jump Shot (12 PTS),
5:52 34 - 42,,Valanciunas 6' Turnaround Fadeaway (17 PTS) (Carroll 1 AST)
5:40,MISS Harris 15' Pullup Jump Shot,
5:40,Pistons Rebound,
5:40,,Lowry P.FOUL (P1.PN) (D.Collins)
5:40,,RAPTORS Timeout: Regular (Full 2 Short 0)
5:40,,
5:40 34 - 43,,Lowry Free Throw Technical (3 PTS)
5:40 35 - 43,Baynes Free Throw 1 of 2 (3 PTS),
5:40 36 - 43,Baynes Free Throw 2 of 2 (4 PTS),
5:26 36 - 45,,Valanciunas 3' Driving Finger Roll Layup (19 PTS)
5:04 39 - 45,Marc Morris 26' 3PT Jump Shot (15 PTS) (Smith 3 AST),
4:53 39 - 47,,DeRozan 16' Pullup Jump Shot (17 PTS) (Lowry 4 AST)
4:32 41 - 47,Baynes 6' Turnaround Hook Shot (6 PTS),
4:14,Harris P.FOUL (P2.PN) (J.Capers),
4:14 41 - 48,,Valanciunas Free Throw 1 of 2 (20 PTS)
4:14,,SUB: Siakam FOR Patterson
4:14,SUB: Drummond FOR Baynes,
4:14 41 - 49,,Valanciunas Free Throw 2 of 2 (21 PTS)
3:59,Marc Morris OFF.Foul (P2) (D.Collins),
3:59,Marc Morris Foul Turnover (P2.T5),
3:42,,MISS Lowry 25' 3PT Jump Shot
3:41,Drummond REBOUND (Off:0 Def:1),
3:33,,Siakam P.FOUL (P1.PN) (J.Capers)
3:33 42 - 49,Harris Free Throw 1 of 2 (11 PTS),
3:33 43 - 49,Harris Free Throw 2 of 2 (12 PTS),
3:25,,Valanciunas OFF.Foul (P1) (D.Collins)
3:25,,Valanciunas Foul Turnover (P1.T6)
3:14,MISS Smith 26' 3PT Pullup Jump Shot,
3:14,,Siakam REBOUND (Off:0 Def:5)
3:07,Caldwell-Pope STEAL (2 STL),DeRozan Lost Ball Turnover (P3.T7)
3:04 45 - 49,Harris Running Dunk (14 PTS) (Caldwell-Pope 2 AST),
3:04,,Siakam S.FOUL (P2.PN) (M.Ayotte)
3:04 46 - 49,Harris Free Throw 1 of 1 (15 PTS),
2:39,,RAPTORS Turnover: Shot Clock (T#8)
2:39,Pistons Timeout: Regular (Reg.2 Short 1),
2:39,,SUB: Joseph FOR Lowry
2:29,MISS Drummond 3' Driving Bank Hook Shot,
2:29,,Joseph REBOUND (Off:0 Def:2)
2:19 46 - 52,,Carroll 26' 3PT Running Jump Shot (4 PTS) (Joseph 1 AST)
2:09,Harris Bad Pass Turnover (P3.T6),Joseph STEAL (1 STL)
2:01 46 - 54,,DeRozan 4' Running Layup (19 PTS) (Joseph 2 AST)
1:43,MISS Drummond 9' Hook Shot,
1:43,,Carroll REBOUND (Off:0 Def:3)
1:27,,MISS Carroll 26' 3PT Jump Shot
1:26,,Joseph REBOUND (Off:1 Def:2)
1:13,,MISS DeRozan 22' Jump Shot
1:12,,Joseph REBOUND (Off:2 Def:2)
1:06,,MISS Carroll 25' 3PT Jump Shot
1:05,,Siakam REBOUND (Off:1 Def:5)
1:05 46 - 56,,Siakam 1' Putback Layup (4 PTS)
0:54,MISS Caldwell-Pope 25' 3PT Jump Shot,
0:53,,Siakam REBOUND (Off:1 Def:6)
0:34,Drummond STEAL (1 STL),DeRozan Lost Ball Turnover (P4.T9)
0:22,MISS Marc Morris 14' Driving Floating Jump Shot,
0:22,,Carroll REBOUND (Off:0 Def:4)
0:05 46 - 58,,Joseph Driving Layup (4 PTS)
0:00,MISS Smith 36' 3PT Running Jump Shot,
0:00,Pistons Rebound,
0:00,,
0:00 46 - 58,,
Start of Q3
11:43 46 - 60,,DeRozan 19' Pullup Jump Shot (21 PTS)
11:21 48 - 60,Drummond 1' Layup (4 PTS),
11:21,,Valanciunas S.FOUL (P2.T1) (J.Capers)
11:21 49 - 60,Drummond Free Throw 1 of 1 (5 PTS),
11:04 49 - 62,,DeRozan 11' Turnaround Fadeaway (23 PTS)
10:41,MISS Drummond 3' Driving Layup,
10:40,Marc Morris REBOUND (Off:2 Def:2),
10:39,MISS Marc Morris 2' Tip Layup Shot,
10:38,Marc Morris REBOUND (Off:3 Def:2),
10:38 51 - 62,Marc Morris 2' Tip Layup Shot (17 PTS),
10:24 51 - 64,,Valanciunas 3' Driving Layup (23 PTS)
10:10 54 - 64,Harris 3PT Jump Shot (18 PTS) (Smith 4 AST),
9:53,,MISS Valanciunas 12' Jump Shot
9:53,Marc Morris REBOUND (Off:3 Def:3),
9:44,MISS Marc Morris 26' 3PT Jump Shot,
9:44,Pistons Rebound,
9:44,,Carroll L.B.FOUL (P3.T2) (D.Collins)
9:36,Harris Traveling Turnover (P4.T7),
9:25 54 - 66,,DeRozan 16' Pullup Jump Shot (25 PTS)
8:58,MISS Marc Morris 25' 3PT Jump Shot,
8:58,,DeRozan REBOUND (Off:0 Def:1)
8:45 54 - 68,,DeRozan 16' Pullup Jump Shot (27 PTS)
8:31,MISS Smith 21' Pullup Jump Shot,
8:30,,DeRozan REBOUND (Off:0 Def:2)
8:23,Marc Morris STEAL (1 STL),DeRozan Bad Pass Turnover (P5.T10)
8:18 56 - 68,Caldwell-Pope 1' Running Layup (4 PTS) (Marc Morris 2 AST),
8:01,,MISS DeRozan 27' 3PT Jump Shot
8:01,Drummond REBOUND (Off:0 Def:2),
7:49 58 - 68,Drummond Cutting Dunk Shot (7 PTS) (Caldwell-Pope 3 AST),
7:25 58 - 70,,DeRozan 14' Fadeaway Jumper (29 PTS)
7:10,MISS Caldwell-Pope 8' Pullup Jump Shot,
7:10,,Lowry REBOUND (Off:0 Def:3)
7:03,,MISS Carroll 22' Jump Shot
7:02,,Siakam REBOUND (Off:2 Def:6)
7:01,Drummond S.FOUL (P3.T1) (J.Capers),
7:01 58 - 71,,Carroll Free Throw 1 of 2 (5 PTS)
7:01,,MISS Carroll Free Throw 2 of 2
7:00,Harris REBOUND (Off:0 Def:5),
7:00,Pistons Timeout: Regular (Reg.3 Short 1),
6:47,,Valanciunas S.FOUL (P3.T3) (J.Capers)
6:47,MISS Drummond Free Throw 1 of 2,
6:47,Pistons Rebound,
6:47,MISS Drummond Free Throw 2 of 2,
6:45,,Valanciunas REBOUND (Off:3 Def:4)
6:31,,MISS DeRozan 13' Pullup Jump Shot
6:31,,Valanciunas REBOUND (Off:4 Def:4)
6:30,,MISS Valanciunas 2' Tip Layup Shot
6:29,Marc Morris REBOUND (Off:3 Def:4),
6:19,MISS Marc Morris 26' 3PT Jump Shot,
6:19,,Siakam REBOUND (Off:2 Def:7)
6:06,,MISS Lowry 22' Jump Shot
6:05,Marc Morris REBOUND (Off:3 Def:5),
5:54,Pistons Turnover: Backcourt (T#8),
5:42 58 - 73,,DeRozan 4' Driving Layup (31 PTS) (Valanciunas 1 AST)
5:27 60 - 73,Drummond Dunk (9 PTS) (Marc Morris 3 AST),
5:05,Smith STEAL (1 STL),DeRozan Lost Ball Turnover (P6.T11)
4:59 62 - 73,Drummond Running Dunk (11 PTS) (Smith 5 AST),
4:40 62 - 75,,Lowry 1' Driving Reverse Layup (5 PTS)
4:20,Pistons Timeout: Short (Reg.3 Short 2),
4:20,SUB: Leuer FOR Marc Morris,
4:17,Drummond Lost Ball Turnover (P1.T9),Lowry STEAL (1 STL)
4:08,,MISS Carroll 5' Driving Floating Jump Shot
4:08,Drummond REBOUND (Off:0 Def:3),
3:56,Drummond Bad Pass Turnover (P2.T10),Carroll STEAL (1 STL)
3:54,SUB: Johnson FOR Caldwell-Pope,
3:45 62 - 77,,DeRozan Driving Dunk (33 PTS) (Lowry 5 AST)
3:45,Drummond S.FOUL (P4.T2) (M.Ayotte),
3:45,,SUB: Patterson FOR Siakam
3:45,,SUB: Ross FOR Carroll
3:45 62 - 78,,DeRozan Free Throw 1 of 1 (34 PTS)
3:35 64 - 78,Harris 15' Pullup Jump Shot (20 PTS),
3:20 64 - 80,,DeRozan 16' Pullup Jump Shot (36 PTS)
3:06 66 - 80,Harris 11' Driving Floating Bank Jump Shot (22 PTS),
2:53,,MISS Lowry 3PT Jump Shot
2:53,Leuer REBOUND (Off:0 Def:5),
2:42 69 - 80,Leuer 25' 3PT Jump Shot (3 PTS) (Smith 6 AST),
2:40,,RAPTORS Timeout: Regular (Full 3 Short 0)
2:40,,SUB: Poeltl FOR Valanciunas
2:40,,SUB: Joseph FOR Lowry
2:20 69 - 82,,Ross 5' Driving Floating Jump Shot (4 PTS)
