Aaron,Gordon,Serge,Ibaka,Nikola,Vucevic,Evan,Fournier,Elfrid,Payton,Jeff,Green,Bismack,Biyombo,D.J.,Augustin,Mario,Hezonja,CJ,Wilcox
LeBron,James,Kevin,Love,Tristan,Thompson,JR,Smith,Kyrie,Irving,Iman,Shumpert,Richard,Jefferson,Kay,Felder,Chris,Andersen,Mike,Dunleavy
Start of Q1
12:00,,Jump Ball Thompson vs. Vucevic: Tip to Ibaka
11:41 2 - 0,Ibaka 1' Driving Layup (2 PTS) (Payton 1 AST),
11:30 2 - 2,,Love 12' Jump Shot (2 PTS) (James 1 AST)
11:22 5 - 2,Gordon 3PT Jump Shot (3 PTS) (Payton 2 AST),
10:59,,MISS Irving 13' Step Back Jump Shot
10:57,Fournier REBOUND (Off:0 Def:1),
10:46,MISS Ibaka 14' Jump Shot,
10:46,,Thompson REBOUND (Off:0 Def:1)
10:38 5 - 5,,Smith 25' 3PT Jump Shot (3 PTS) (James 2 AST)
10:26,Vucevic Out of Bounds - Bad Pass Turnover Turnover (P1.T1),
10:13,,MISS Smith 25' 3PT Jump Shot
10:13,Magic Rebound,
10:13,,Thompson L.B.FOUL (P1.T1) (C.Washington)
10:01 7 - 5,Ibaka Cutting Dunk Shot (4 PTS) (Fournier 1 AST),
9:45,,MISS Love 24' 3PT Jump Shot
9:44,Vucevic REBOUND (Off:0 Def:1),
9:39,,Irving S.FOUL (P1.T2) (D.Crawford)
9:39,MISS Payton Free Throw 1 of 2,
9:39,Magic Rebound,
9:39,MISS Payton Free Throw 2 of 2,
9:39,,Smith REBOUND (Off:0 Def:1)
9:23 7 - 7,,James Driving Dunk (2 PTS)
9:23,Vucevic S.FOUL (P1.T1) (D.Crawford),
9:23 7 - 8,,James Free Throw 1 of 1 (3 PTS)
9:07,MISS Payton 20' Jump Shot,
9:07,,Thompson REBOUND (Off:0 Def:2)
8:41,,MISS Irving 9' Driving Floating Jump Shot
8:39,,Love REBOUND (Off:1 Def:0)
8:39,,MISS Love 1' Tip Layup Shot
8:38,,Love REBOUND (Off:2 Def:0)
8:38 7 - 10,,Love 1' Tip Layup Shot (4 PTS)
8:25,MISS Gordon 16' Jump Shot,
8:24,,CAVALIERS Rebound
8:05 7 - 12,,Love 8' Turnaround Jump Shot (6 PTS) (James 3 AST)
8:05,Gordon S.FOUL (P1.T2) (D.Crawford),
8:05 7 - 13,,Love Free Throw 1 of 1 (7 PTS)
7:49 9 - 13,Fournier 1' Reverse Layup (2 PTS) (Vucevic 1 AST),
7:30,,MISS Love 16' Jump Shot
7:29,,Smith REBOUND (Off:1 Def:1)
7:13,,MISS Thompson 9' Hook Shot
7:11,Payton REBOUND (Off:0 Def:1),
6:57,Ibaka OFF.Foul (P1) (D.Crawford),
6:57,Ibaka Foul Turnover (P1.T2),
6:42,,MISS Love 10' Jump Shot
6:41,,Thompson REBOUND (Off:1 Def:2)
6:39,Gordon BLOCK (1 BLK),MISS Thompson 2' Putback Layup
6:37,Gordon REBOUND (Off:0 Def:1),
6:32,MISS Vucevic Running Dunk,
6:31,,Love REBOUND (Off:2 Def:1)
6:24,,MISS Smith 26' 3PT Jump Shot
6:23,,Thompson REBOUND (Off:2 Def:2)
6:16,,MISS Love 3PT Jump Shot
6:12,,Smith REBOUND (Off:2 Def:1)
6:12 9 - 15,,Smith Tip Dunk Shot (5 PTS)
6:12,Magic Timeout: Regular (Reg.1 Short 0),
6:12,Magic Violation: Delay of game Violation,
5:53 11 - 15,Fournier 22' Jump Shot (4 PTS),
5:33 11 - 17,,Irving 17' Jump Shot (2 PTS) (Thompson 1 AST)
5:11 13 - 17,Ibaka 1' Cutting Layup Shot (6 PTS) (Fournier 2 AST),
5:11,,Smith S.FOUL (P1.T3) (C.Washington)
5:11,MISS Ibaka Free Throw 1 of 1,
5:11,,Irving REBOUND (Off:0 Def:1)
4:57 13 - 19,,Irving 19' Pullup Jump Shot (4 PTS)
4:42 15 - 19,Payton 6' Driving Floating Jump Shot (2 PTS),
4:25,Gordon STEAL (1 STL),James Lost Ball Turnover (P1.T1)
4:19,MISS Fournier 2' Running Layup,
4:18,Ibaka REBOUND (Off:1 Def:0),
4:17,MISS Ibaka 3' Putback Layup,Irving BLOCK (1 BLK)
