Maurice,Harkless,Al-Farouq,Aminu,Mason,Plumlee,CJ,McCollum,Damian,Lillard,Evan,Turner,Allen,Crabbe,Ed,Davis,Noah,Vonleh,Meyers,Leonard,Shabazz,Napier
Danilo,Gallinari,Nikola,Jokic,Jusuf,Nurkic,Will,Barton,Emmanuel,Mudiay,Wilson,Chandler,Jameer,Nelson,Kenneth,Faried,Jamal,Murray
Start of Q1
12:00,,Jump Ball Nurkic vs. Plumlee: Tip to McCollum
11:42 2 - 0,Plumlee 10' Floating Jump Shot (2 PTS) (Aminu 1 AST),
11:24,,MISS Jokic 7' Jump Shot
11:22,,Nurkic REBOUND (Off:1 Def:0)
11:22,,MISS Nurkic 1' Tip Layup Shot
11:19,,Jokic REBOUND (Off:1 Def:0)
11:19 2 - 2,,Jokic 2' Putback Layup (2 PTS)
11:00 4 - 2,Lillard 15' Fadeaway Jumper (2 PTS),
10:45,,MISS Mudiay 19' Jump Shot
10:43,Lillard REBOUND (Off:0 Def:1),
10:36,MISS Aminu 25' 3PT Pullup Jump Shot,
10:35,McCollum REBOUND (Off:1 Def:0),
10:31 6 - 2,McCollum 13' Floating Jump Shot (2 PTS),
10:19,,MISS Barton 19' Jump Shot
10:17,Aminu REBOUND (Off:0 Def:1),
10:07,MISS Lillard 2' Hook Shot,
10:06,,Mudiay REBOUND (Off:0 Def:1)
10:00 6 - 4,,Mudiay 2' Driving Layup (2 PTS)
9:47,MISS McCollum 15' Pullup Jump Shot,
9:46,McCollum REBOUND (Off:2 Def:0),
9:39,MISS Aminu 26' 3PT Jump Shot,
9:38,,Barton REBOUND (Off:0 Def:1)
9:32,,MISS Gallinari 25' 3PT Jump Shot
9:31,,Nurkic REBOUND (Off:2 Def:0)
9:26 6 - 6,,Nurkic 4' Turnaround Bank Shot (2 PTS)
9:10 9 - 6,Harkless 3PT Jump Shot (3 PTS) (Lillard 1 AST),
8:57,,MISS Mudiay 12' Jump Shot
8:56,Plumlee REBOUND (Off:0 Def:1),
8:48 11 - 6,Lillard 3' Driving Reverse Layup (4 PTS),
8:48,,NUGGETS Timeout: Regular (Full 1 Short 0)
8:29 11 - 8,,Nurkic 1' Layup (4 PTS)
8:06 14 - 8,Aminu 27' 3PT Jump Shot (3 PTS) (Lillard 2 AST),
