Joe,Johnson,Boris,Diaw,Rudy,Gobert,Rodney,Hood,George,Hill,Derrick,Favors,Dante,Exum,Trey,Lyles,Shelvin,Mack,Joe,Ingles,Raul,Neto,Joel,Bolomboy
Luc,Mbah a Moute,Blake,Griffin,DeAndre,Jordan,JJ,Redick,Chris,Paul,Jamal,Crawford,Austin,Rivers,Raymond,Felton,Wesley,Johnson,Marreese,Speights,Brandon,Bass,Diamond,Stone
Start of Q1
12:00,,Jump Ball Jordan vs. Gobert: Tip to Mbah a Moute
11:38,,MISS Redick 19' Jump Shot
11:37,Gobert REBOUND (Off:0 Def:1),
11:20,MISS Gobert 3' Hook Shot,Jordan BLOCK (1 BLK)
11:17,,Paul REBOUND (Off:0 Def:1)
11:04,,MISS Jordan 3' Layup
11:03,,Jordan REBOUND (Off:1 Def:0)
11:03,,MISS Jordan Tip Layup Shot
11:00,Hood REBOUND (Off:0 Def:1),
10:52,MISS Hood 7' Jump Shot,
10:49,,Jordan REBOUND (Off:1 Def:1)
10:49,Johnson STEAL (1 STL),Jordan Bad Pass Turnover (P1.T1)
10:33,MISS Johnson 10' Jump Shot,
10:32,,Paul REBOUND (Off:0 Def:2)
10:25 0 - 3,,Paul 27' 3PT Jump Shot (3 PTS) (Mbah a Moute 1 AST)
10:02,Diaw Bad Pass Turnover (P1.T1),Redick STEAL (1 STL)
9:57,,Griffin Out of Bounds Lost Ball Turnover (P1.T2)
9:42 3 - 3,G. Hill 28' 3PT Jump Shot (3 PTS) (Gobert 1 AST),
9:21,G. Hill P.FOUL (P1.T1) (M.Davis),
9:14 3 - 5,,Griffin 1' Layup (2 PTS)
8:56,MISS G. Hill 25' 3PT Jump Shot,
8:55,,Jordan REBOUND (Off:1 Def:2)
8:45 3 - 7,,Griffin 20' Jump Shot (4 PTS) (Paul 1 AST)
8:43,Jazz Timeout: Regular (Reg.1 Short 0),
8:21 5 - 7,Johnson 18' Step Back Jump Shot (2 PTS),
8:02,Gobert S.FOUL (P1.T2) (M.Davis),
8:02 5 - 8,,Griffin Free Throw 1 of 2 (5 PTS)
8:02 5 - 9,,Griffin Free Throw 2 of 2 (6 PTS)
7:49,MISS G. Hill 6' Hook Shot,
7:47,Gobert REBOUND (Off:1 Def:1),
7:47,,Jordan S.FOUL (P1.T1) (B.Barnaky)
7:47 6 - 9,Gobert Free Throw 1 of 2 (1 PTS),
7:47 7 - 9,Gobert Free Throw 2 of 2 (2 PTS),
7:33,,MISS Griffin 3' Reverse Layup
7:31,Gobert REBOUND (Off:1 Def:2),
7:17,Gobert Traveling Turnover (P1.T2),
7:12,,Paul Out of Bounds - Bad Pass Turnover Turnover (P1.T3)
7:00,MISS Hood 16' Jump Shot,
6:59,,Griffin REBOUND (Off:0 Def:1)
6:50,,MISS Paul 27' 3PT Jump Shot
6:49,,CLIPPERS Rebound
6:46 7 - 11,,Griffin 17' Jump Shot (8 PTS) (Paul 2 AST)
6:21 10 - 11,Hood 27' 3PT Step Back Jump Shot (3 PTS) (Gobert 2 AST),
6:07,Gobert S.FOUL (P2.T3) (B.Barnaky),
6:07,,MISS Jordan Free Throw 1 of 2
6:07,,CLIPPERS Rebound
6:07,SUB: Favors FOR Gobert,
6:07 10 - 12,,Jordan Free Throw 2 of 2 (1 PTS)
5:55 12 - 12,Johnson 12' Pullup Jump Shot (4 PTS) (G. Hill 1 AST),
5:42,,MISS Mbah a Moute 24' 3PT Jump Shot
5:41,,Mbah a Moute REBOUND (Off:1 Def:0)
5:38,Johnson STEAL (2 STL),Mbah a Moute Bad Pass Turnover (P1.T4)
5:32 15 - 12,Johnson 26' 3PT Running Pull-Up Jump Shot (7 PTS),
5:11,,MISS Mbah a Moute 8' Hook Shot
5:08,Favors REBOUND (Off:0 Def:1),
4:59,MISS Favors 3' Reverse Layup,
4:57,,Jordan REBOUND (Off:1 Def:3)
4:50,Favors S.FOUL (P1.T4) (S.Twardoski),
4:50 15 - 13,,Mbah a Moute Free Throw 1 of 2 (1 PTS)
4:50,,SUB: Crawford FOR Redick
4:50,,MISS Mbah a Moute Free Throw 2 of 2
4:48,Favors REBOUND (Off:0 Def:2),
4:24 17 - 13,G. Hill 6' Floating Jump Shot (5 PTS) (Johnson 1 AST),
4:24,,CLIPPERS Timeout: Regular (Full 1 Short 0)
4:24,,SUB: Rivers FOR Mbah a Moute
4:24,SUB: Exum FOR Hood,
4:09,,MISS Griffin 8' Turnaround Hook Shot
4:06,,Jordan REBOUND (Off:2 Def:3)
4:06,,MISS Jordan 1' Tip Layup Shot
4:03,Diaw REBOUND (Off:0 Def:1),
3:52,,SUB: Felton FOR Paul
3:44,,Rivers S.FOUL (P1.T2) (B.Barnaky)
3:44 18 - 13,Favors Free Throw 1 of 2 (1 PTS),
3:44,MISS Favors Free Throw 2 of 2,
3:43,,Jordan REBOUND (Off:2 Def:4)
3:20,,MISS Felton 26' 3PT Jump Shot
3:19,,Jordan REBOUND (Off:3 Def:4)
3:17,,MISS Jordan 2' Hook Shot
3:15,Favors REBOUND (Off:0 Def:3),
3:06,Diaw Lost Ball Turnover (P2.T3),Crawford STEAL (1 STL)
3:02 18 - 15,,Crawford 1' Running Reverse Layup (2 PTS)
2:47,MISS Favors 3' Layup,
2:44,G. Hill REBOUND (Off:1 Def:0),
2:40,MISS Diaw 26' 3PT Jump Shot,
2:37,,Griffin REBOUND (Off:0 Def:2)
2:25,Exum P.FOUL (P1.PN) (M.Davis),
2:25 18 - 16,,Crawford Free Throw 1 of 2 (3 PTS)
2:25,SUB: Lyles FOR Diaw,
2:25,,SUB: W. Johnson FOR Jordan
2:25 18 - 17,,Crawford Free Throw 2 of 2 (4 PTS)
2:09,,Griffin S.FOUL (P1.T3) (M.Davis)
2:09 19 - 17,Favors Free Throw 1 of 2 (2 PTS),
2:09,SUB: Mack FOR G. Hill,
2:09 20 - 17,Favors Free Throw 2 of 2 (3 PTS),
1:57,Favors STEAL (1 STL),Felton Bad Pass Turnover (P1.T5)
1:55,,SUB: Speights FOR Griffin
1:47 22 - 17,Exum 18' Pullup Jump Shot (2 PTS) (Mack 1 AST),
1:30,,MISS Speights 27' 3PT Jump Shot
1:28,Lyles REBOUND (Off:0 Def:1),
1:06,MISS Johnson 26' 3PT Jump Shot,
1:04,,Felton REBOUND (Off:0 Def:1)
0:57,,MISS Crawford 25' 3PT Jump Shot
0:56,Johnson REBOUND (Off:0 Def:1),
0:44,Mack Out of Bounds Lost Ball Turnover (P1.T4),
0:28 22 - 19,,Crawford 4' Driving Bank Shot (6 PTS)
0:09,,Felton P.FOUL (P1.T4) (S.Twardoski)
0:02,MISS Favors 7' Hook Shot,
0:00,,Speights REBOUND (Off:0 Def:1)
0:00,,MISS Speights 81' 3PT Jump Shot
0:00,,CLIPPERS Rebound
0:00 22 - 19,,
Start of Q2
11:38,Mack Offensive Charge Foul (P1.T1) (B.Barnaky),
11:38,Mack Foul Turnover (P2.T5),
11:23,,MISS Speights 4' Jump Shot
11:21,Favors REBOUND (Off:0 Def:4),
11:14,MISS Mack 15' Jump Shot,
11:13,Favors REBOUND (Off:1 Def:4),
11:11,Mack Offensive Charge Foul (P2.T2) (M.Davis),
11:11,Mack Foul Turnover (P3.T6),
10:50 22 - 21,,Rivers 19' Pullup Jump Shot (2 PTS) (Felton 1 AST)
10:32 25 - 21,Lyles 24' 3PT Jump Shot (3 PTS) (Ingles 1 AST),
10:24,Mack P.FOUL (P3.T3) (M.Davis),
10:24,SUB: Hood FOR Mack,
10:10 25 - 23,,Rivers 2' Running Layup (4 PTS)
10:01,MISS Hood 6' Turnaround Fadeaway Shot,
10:00,,Rivers REBOUND (Off:0 Def:1)
9:50,,MISS Felton 3' Layup
9:49,Exum REBOUND (Off:0 Def:1),
9:41 27 - 23,Exum 1' Driving Finger Roll Layup (4 PTS),
9:20,,MISS Speights 26' 3PT Jump Shot
9:18,Exum REBOUND (Off:0 Def:2),
9:04,MISS Exum 18' Jump Shot,
9:03,,W. Johnson REBOUND (Off:0 Def:1)
8:54,,MISS Rivers 3' Driving Layup
8:52,Hood REBOUND (Off:0 Def:2),
8:33,MISS Ingles 3' Cutting Layup Shot,W. Johnson BLOCK (1 BLK)
8:32,Lyles REBOUND (Off:1 Def:1),
8:32,MISS Lyles 3' Putback Layup,Speights BLOCK (1 BLK)
8:32,Jazz Rebound,
8:32,,
8:32,SUB: Diaw FOR Favors,
8:32,,SUB: Jordan FOR Speights
8:28,MISS Lyles 25' 3PT Jump Shot,
8:28,,CLIPPERS Rebound
8:08,Lyles S.FOUL (P1.T4) (B.Barnaky),
8:08 27 - 24,,Crawford Free Throw 1 of 2 (7 PTS)
8:08,,SUB: Paul FOR Felton
8:08 27 - 25,,Crawford Free Throw 2 of 2 (8 PTS)
7:54,MISS Lyles 24' 3PT Jump Shot,
7:53,,CLIPPERS Rebound
7:52,SUB: G. Hill FOR Ingles,
7:52,SUB: Gobert FOR Lyles,
7:41,,MISS Crawford 18' Jump Shot
7:40,Hood REBOUND (Off:0 Def:3),
7:18,MISS Exum 11' Hook Shot,
