Danilo,Gallinari,Nikola,Jokic,Jusuf,Nurkic,Will,Barton,Emmanuel,Mudiay,Wilson,Chandler,Kenneth,Faried,Jameer,Nelson,Jamal,Murray
DeMarre,Carroll,Pascal,Siakam,Jonas,Valanciunas,DeMar,DeRozan,Kyle,Lowry,Patrick,Patterson,Cory,Joseph,Terrence,Ross,Jakob,Poeltl,Norman,Powell
Start of Q1
12:00,,Jump Ball Valanciunas vs. Nurkic: Tip to
11:43,,MISS Valanciunas 15' Jump Shot
11:43,Mudiay REBOUND (Off:0 Def:1),
11:33,,Lowry P.FOUL (P1.T1) (G.Zielinski)
11:17,MISS Mudiay 20' Pullup Jump Shot,
11:17,,DeRozan REBOUND (Off:0 Def:1)
11:01 0 - 2,,Valanciunas Alley Oop Dunk (2 PTS) (Lowry 1 AST)
10:51,,Valanciunas P.FOUL (P1.T2) (M.McCutchen)
10:46,MISS Nurkic 3' Hook Bank Shot,
10:45,,Siakam REBOUND (Off:0 Def:1)
10:31 0 - 4,,Valanciunas 21' Jump Shot (4 PTS) (Lowry 2 AST)
10:16 2 - 4,Jokic 4' Driving Hook Shot (2 PTS) (Gallinari 1 AST),
9:58,Nurkic BLOCK (1 BLK),MISS Siakam 5' Driving Floating Jump Shot
9:57,Jokic REBOUND (Off:0 Def:1),
9:51 5 - 4,Mudiay 26' 3PT Running Jump Shot (3 PTS) (Barton 1 AST),
9:38 5 - 6,,DeRozan 11' Pullup Jump Shot (2 PTS) (Lowry 3 AST)
9:29 7 - 6,Jokic 2' Layup (4 PTS) (Nurkic 1 AST),
9:17,Nuggets T.Foul (Def. 3 Sec Jokic ) (G.Zielinski),
9:17 7 - 7,,DeRozan Free Throw Technical (3 PTS)
9:10,Nuggets T.Foul (Def. 3 Sec Nurkic ) (G.Zielinski),
9:10 7 - 8,,DeRozan Free Throw Technical (4 PTS)
9:02,Barton BLOCK (1 BLK),MISS DeRozan 13' Pullup Jump Shot
9:01,Mudiay REBOUND (Off:0 Def:2),
8:57 9 - 8,Barton 2' Running Layup (2 PTS) (Mudiay 1 AST),
8:47,Nurkic BLOCK (2 BLK),MISS Valanciunas 3' Layup
8:46,Nurkic REBOUND (Off:0 Def:1),
8:41,,Siakam S.FOUL (P1.T3) (A.Smith)
8:41 10 - 8,Nurkic Free Throw 1 of 2 (1 PTS),
8:41,MISS Nurkic Free Throw 2 of 2,
8:40,,Carroll REBOUND (Off:0 Def:1)
8:24 10 - 10,,Carroll 5' Driving Floating Bank Jump Shot (2 PTS) (Valanciunas 1 AST)
7:59,MISS Nurkic 21' Jump Shot,
7:59,,Siakam REBOUND (Off:0 Def:2)
7:49 10 - 12,,Siakam 4' Hook Shot (2 PTS) (Lowry 4 AST)
7:41,,Carroll P.FOUL (P1.T4) (A.Smith)
7:38,Mudiay Lost Ball Turnover (P1.T1),Lowry STEAL (1 STL)
7:34 10 - 14,,Lowry 1' Running Layup (2 PTS)
7:14 13 - 14,Barton 24' 3PT Pullup Jump Shot (5 PTS),
6:47 13 - 16,,Valanciunas 2' Driving Layup (6 PTS)
6:37,MISS Barton 1' Driving Reverse Layup,
6:36,Jokic REBOUND (Off:1 Def:1),
6:34 15 - 16,Jokic 2' Tip Layup Shot (6 PTS),
6:26 15 - 18,,DeRozan 4' Driving Floating Jump Shot (6 PTS)
6:25,Nuggets Timeout: Regular (Reg.1 Short 0),
6:11,MISS Barton 5' Driving Floating Jump Shot,
6:10,,DeRozan REBOUND (Off:0 Def:2)
5:51,,MISS Valanciunas 13' Fadeaway Jumper
5:51,Nurkic REBOUND (Off:0 Def:2),
5:43 17 - 18,Mudiay 17' Running Pull-Up Jump Shot (5 PTS),
5:25 17 - 20,,Carroll 2' Reverse Layup (4 PTS) (Lowry 5 AST)
5:11,MISS Jokic 2' Layup,
5:11,,Siakam REBOUND (Off:0 Def:3)
5:02,,MISS Lowry 19' Floating Jump Shot
5:02,,Siakam REBOUND (Off:1 Def:3)
5:00,,MISS Siakam 1' Tip Layup Shot
4:59,,DeRozan REBOUND (Off:1 Def:2)
4:51,,MISS Siakam 15' Jump Shot
4:51,,Valanciunas REBOUND (Off:1 Def:0)
4:43 17 - 23,,Carroll 25' 3PT Jump Shot (7 PTS) (DeRozan 1 AST)
4:27,MISS Mudiay 4' Driving Floating Jump Shot,
4:27,,RAPTORS Rebound
4:27,SUB: Chandler FOR Jokic,
4:27,SUB: Faried FOR Nurkic,
4:11 17 - 25,,DeRozan 18' Pullup Jump Shot (8 PTS)
4:10,Nuggets Timeout: Regular (Reg.2 Short 0),
4:10,,SUB: Patterson FOR Siakam
3:51,MISS Mudiay 2' Layup,Patterson BLOCK (1 BLK)
3:48,,Valanciunas REBOUND (Off:1 Def:1)
3:44 17 - 27,,Lowry 3' Running Layup (4 PTS)
3:31,MISS Chandler 25' 3PT Jump Shot,
3:31,,Lowry REBOUND (Off:0 Def:1)
3:05,,MISS Carroll 12' Pullup Jump Shot
3:05,Faried REBOUND (Off:0 Def:1),
2:58,SUB: Nelson FOR Mudiay,
2:58,,SUB: Joseph FOR Lowry
2:49,,Joseph S.FOUL (P1.PN) (G.Zielinski)
2:49 18 - 27,Gallinari Free Throw 1 of 2 (1 PTS),
2:49 19 - 27,Gallinari Free Throw 2 of 2 (2 PTS),
2:28 19 - 29,,DeRozan 18' Pullup Jump Shot (10 PTS)
2:10,MISS Gallinari 16' Fadeaway Jumper,
2:10,Faried REBOUND (Off:1 Def:1),
2:08,,Valanciunas S.FOUL (P2.PN) (A.Smith)
2:08 20 - 29,Faried Free Throw 1 of 2 (1 PTS),
2:08,,SUB: Ross FOR Carroll
2:08,,SUB: Poeltl FOR Valanciunas
2:08 21 - 29,Faried Free Throw 2 of 2 (2 PTS),
1:51,,MISS DeRozan 19' Pullup Jump Shot
1:51,,Joseph REBOUND (Off:1 Def:0)
1:34 21 - 31,,DeRozan 7' Jump Shot (12 PTS)
1:22 24 - 31,Nelson 26' 3PT Pullup Jump Shot (3 PTS),
1:05 24 - 33,,DeRozan 11' Pullup Jump Shot (14 PTS)
0:55,MISS Faried 2' Cutting Layup Shot,
0:54,,Poeltl REBOUND (Off:0 Def:1)
0:32,,MISS Joseph 21' Pullup Jump Shot
0:32,,RAPTORS Rebound
0:30,SUB: Jokic FOR Gallinari,
0:27,,MISS Ross 25' 3PT Jump Shot
0:27,Chandler REBOUND (Off:0 Def:1),
0:03,Jokic Traveling Turnover (P1.T2),
0:00,,MISS DeRozan 36' 3PT Driving Floating Jump Shot
0:00,,RAPTORS Rebound
0:00 24 - 33,,
Start of Q2
11:41,MISS Nelson 27' 3PT Jump Shot,
11:40,,Ross REBOUND (Off:0 Def:1)
