Luol,Deng,Julius,Randle,Timofey,Mozgov,Nick,Young,D'Angelo,Russell,Jose,Calderon,Larry,Nance Jr.,Brandon,Ingram,Jordan,Clarkson,Tarik,Black,Lou,Williams,Metta,World Peace
Paul,George,Thaddeus,Young,Myles,Turner,Monta,Ellis,Jeff,Teague,CJ,Miles,Al,Jefferson,Lavoy,Allen,Aaron,Brooks,Kevin,Seraphin
Start of Q1
12:00,,Jump Ball Turner vs. Mozgov: Tip to Russell
11:45 2 - 0,Russell 8' Turnaround Jump Shot (2 PTS),
11:25,Russell P.FOUL (P1.T1) (D.Crawford),
11:14,,MISS George 26' 3PT Jump Shot
11:13,Randle REBOUND (Off:0 Def:1),
10:56 4 - 0,Young 21' Pullup Jump Shot (2 PTS),
10:33,,MISS Turner 15' Jump Shot
10:32,Mozgov REBOUND (Off:0 Def:1),
10:16,MISS Deng 14' Pullup Jump Shot,
10:15,Mozgov REBOUND (Off:1 Def:1),
10:08,MISS Russell 16' Jump Shot,
10:07,,Teague REBOUND (Off:0 Def:1)
10:07,Russell P.FOUL (P2.T2) (D.Crawford),
10:07,SUB: Calderon FOR Russell,
10:00,,MISS Teague 25' 3PT Jump Shot
10:00,Calderon REBOUND (Off:0 Def:1),
9:49,Mozgov Bad Pass Turnover (P1.T1),Teague STEAL (1 STL)
9:40 4 - 3,,George 26' 3PT Jump Shot (3 PTS) (Teague 1 AST)
9:20,MISS Randle 26' 3PT Jump Shot,
9:20,,Teague REBOUND (Off:0 Def:2)
9:07,Young S.FOUL (P1.T3) (D.Collins),
9:07,,MISS Turner Free Throw 1 of 2
9:07,,PACERS Rebound
9:07,,MISS Turner Free Throw 2 of 2
9:07,Deng REBOUND (Off:0 Def:1),
8:53,MISS Young 25' 3PT Jump Shot,
8:52,,PACERS Rebound
8:52,Mozgov L.B.FOUL (P1.T4) (D.Crawford),
8:38 4 - 6,,Young 27' 3PT Jump Shot (3 PTS) (Ellis 1 AST)
8:23 6 - 6,Calderon 20' Pullup Jump Shot (2 PTS),
8:06 6 - 8,,Young 2' Cutting Layup Shot (5 PTS) (Turner 1 AST)
7:56,Deng Lost Ball Turnover (P1.T2),Young STEAL (1 STL)
7:34,Randle Shooting Block Foul (P1.PN) (D.Collins),
7:34 6 - 9,,George Free Throw 1 of 2 (4 PTS)
7:34 6 - 10,,George Free Throw 2 of 2 (5 PTS)
7:17 8 - 10,Randle 2' Cutting Layup Shot (2 PTS) (Deng 1 AST),
7:17,,Ellis S.FOUL (P1.T1) (D.Collins)
7:17 9 - 10,Randle Free Throw 1 of 1 (3 PTS),
6:58,Calderon STEAL (1 STL),Ellis Lost Ball Turnover (P1.T1)
6:53,MISS Randle Running Layup,Young BLOCK (1 BLK)
6:52,Lakers Rebound,
6:43,MISS Deng Layup,
6:42,,Turner REBOUND (Off:0 Def:1)
6:36 9 - 12,,Young 1' Driving Finger Roll Layup (7 PTS) (Teague 2 AST)
6:18,MISS Mozgov 17' Jump Shot,
6:17,,Young REBOUND (Off:0 Def:1)
6:04,,MISS Turner 1' Layup
6:03,Randle REBOUND (Off:0 Def:2),
5:55,Randle Offensive Charge Foul (P2.PN) (D.Crawford),
5:55,Randle Foul Turnover (P1.T3),
5:55,,PACERS Timeout: Regular (Full 1 Short 0)
5:55,SUB: Nance Jr. FOR Randle,
5:55,,SUB: Miles FOR Turner
5:55,,SUB: Jefferson FOR Ellis
5:46 9 - 15,,George 26' 3PT Jump Shot (8 PTS) (Teague 3 AST)
5:27,Calderon Bad Pass Turnover (P1.T4),
5:15,,MISS Teague 9' Floating Jump Shot
5:15,,Jefferson REBOUND (Off:1 Def:0)
5:13 9 - 17,,Jefferson 1' Putback Layup (2 PTS)
5:03 11 - 17,Mozgov 1' Cutting Layup Shot (2 PTS) (Calderon 1 AST),
4:51,,MISS George 6' Jump Shot
4:50,,Jefferson REBOUND (Off:2 Def:0)
4:44,Nance Jr. STEAL (1 STL),Teague Lost Ball Turnover (P1.T2)
4:39 13 - 17,Deng Running Finger Roll Layup (2 PTS),
4:34 13 - 19,,Miles 1' Layup (2 PTS)
4:34,Young Shooting Block Foul (P2.PN) (D.Crawford),
4:34,SUB: Ingram FOR Deng,
4:34,SUB: Clarkson FOR Young,
4:34 13 - 20,,Miles Free Throw 1 of 1 (3 PTS)
4:20,MISS Ingram 3PT Jump Shot,
4:19,,George REBOUND (Off:0 Def:1)
4:11,,MISS Jefferson 16' Jump Shot
