James,Ennis,Jarell,Martin,JaMychal,Green,Troy,Williams,Wade,Baldwin,Zach,Randolph,Andrew,Harrison,Vince,Carter,Tony,Allen,Deyonta,Davis,Troy,Daniels
Andrew,Wiggins,Gorgui,Dieng,Karl-Anthony,Towns,Zach,LaVine,Kris,Dunn,Brandon,Rush,Tyus,Jones,Nemanja,Bjelica,Shabazz,Muhammad,Cole,Aldrich,Jordan,Hill
Start of Q1
12:00,,Jump Ball Towns vs. Green: Tip to Martin
11:43,MISS Ennis 19' Jump Shot,
11:42,Baldwin REBOUND (Off:1 Def:0),
11:31 2 - 0,Williams 20' Pullup Jump Shot (2 PTS),
11:08 2 - 3,,LaVine 24' 3PT Jump Shot (3 PTS) (Dieng 1 AST)
10:51,MISS Martin 2' Driving Layup,Dieng BLOCK (1 BLK)
10:49,,LaVine REBOUND (Off:0 Def:1)
10:43,Baldwin STEAL (1 STL),LaVine Lost Ball Turnover (P1.T1)
10:36,,Towns Violation:Defensive Goaltending (L.Richardson)
10:36 4 - 3,Williams 1' Layup (4 PTS),
10:36,,Dieng S.FOUL (P1.T1) (L.Richardson)
10:36 5 - 3,Williams Free Throw 1 of 1 (5 PTS),
10:28,Green P.FOUL (P1.T1) (L.Richardson),
10:18 5 - 5,,Towns 2' Hook Shot (2 PTS)
10:05 7 - 5,Martin Cutting Dunk Shot (2 PTS) (Baldwin 1 AST),
9:49,,MISS Wiggins 14' Pullup Jump Shot
9:49,Ennis REBOUND (Off:0 Def:1),
9:38,,Wiggins S.FOUL (P1.T2) (M.Ervin)
9:38,MISS Martin Free Throw 1 of 2,
9:38,Grizzlies Rebound,
9:38 8 - 5,Martin Free Throw 2 of 2 (3 PTS),
9:22 8 - 7,,Towns 4' Jump Shot (4 PTS)
9:10,Baldwin Out of Bounds - Bad Pass Turnover Turnover (P1.T1),
9:01,,MISS LaVine 24' 3PT Jump Shot
9:00,Ennis REBOUND (Off:0 Def:2),
8:53,MISS Martin 24' 3PT Jump Shot,
8:52,,Dunn REBOUND (Off:0 Def:1)
8:48,Baldwin STEAL (2 STL),Dunn Bad Pass Turnover (P1.T2)
8:41,Williams Bad Pass Turnover (P1.T2),Dunn STEAL (1 STL)
8:35,,MISS Dunn 2' Driving Layup
8:34,Baldwin REBOUND (Off:1 Def:1),
8:28,Green Bad Pass Turnover (P1.T3),Dunn STEAL (2 STL)
8:24,Martin S.FOUL (P1.T2) (M.Ervin),
8:24 8 - 8,,LaVine Free Throw 1 of 2 (4 PTS)
8:24 8 - 9,,LaVine Free Throw 2 of 2 (5 PTS)
8:05,Baldwin Bad Pass Turnover (P2.T4),Dieng STEAL (1 STL)
7:56,Ennis STEAL (1 STL),LaVine Lost Ball Turnover (P2.T3)
7:52 10 - 9,Ennis Driving Dunk (2 PTS),
7:32,,MISS Towns 1' Layup
7:31,,Towns REBOUND (Off:1 Def:0)
7:28,,MISS Towns 1' Layup
7:27,,Dunn REBOUND (Off:1 Def:1)
7:26 10 - 11,,Dunn 2' Tip Layup Shot (2 PTS)
7:09 12 - 11,Baldwin 21' Step Back Jump Shot (2 PTS),
6:56,,MISS Wiggins 16' Jump Shot
6:55,Martin REBOUND (Off:0 Def:1),
6:34,MISS Martin 24' 3PT Jump Shot,
6:33,,Dieng REBOUND (Off:0 Def:1)
6:15 12 - 14,,Dunn 25' 3PT Jump Shot (5 PTS)
6:08,Grizzlies Timeout: Regular (Reg.1 Short 0),
6:08,SUB: Randolph FOR Ennis,
6:08,SUB: Harrison FOR Martin,
5:57,Green Bad Pass Turnover (P2.T5),
5:44,Green STEAL (1 STL),Dunn Lost Ball Turnover (P2.T4)
5:30,MISS Green 3PT Jump Shot,
5:29,,LaVine REBOUND (Off:0 Def:2)
5:19 12 - 17,,LaVine 3PT Jump Shot (8 PTS) (Dieng 2 AST)
5:00 14 - 17,Williams Driving Layup (7 PTS),
4:42 14 - 19,,Dieng 19' Jump Shot (2 PTS) (LaVine 1 AST)
4:20,MISS Green 1' Cutting Layup Shot,
4:19,,Dieng REBOUND (Off:0 Def:2)
4:13,,MISS LaVine 24' 3PT Jump Shot
4:12,Baldwin REBOUND (Off:1 Def:2),
4:08,Baldwin Lost Ball Turnover (P3.T6),Dunn STEAL (3 STL)
4:04 14 - 21,,LaVine Alley Oop Dunk (10 PTS) (Towns 1 AST)
3:54,,Towns Personal Take Foul (P1.T3) (L.Richardson)
3:54,,SUB: Rush FOR LaVine
3:54,,SUB: Jones FOR Dunn
3:54,SUB: Carter FOR Williams,
3:50,SUB: Allen FOR Baldwin,
3:41,MISS Carter 24' 3PT Jump Shot,
3:39,Harrison REBOUND (Off:1 Def:0),
3:30,MISS Randolph 21' Jump Shot,
3:29,,Towns REBOUND (Off:1 Def:1)
3:21,Harrison STEAL (1 STL),Dieng Bad Pass Turnover (P1.T5)
3:17,Randolph OFF.Foul (P1) (L.Richardson),
3:17,Randolph Foul Turnover (P1.T7),
3:04,,MISS Towns 9' Floating Jump Shot
3:03,Carter REBOUND (Off:0 Def:1),
2:55,MISS Harrison 1' Driving Layup,
2:54,,Towns REBOUND (Off:1 Def:2)
2:48 14 - 23,,Dieng 1' Cutting Layup Shot (4 PTS) (Rush 1 AST)
2:40,Grizzlies Timeout: Short (Reg.1 Short 1),
2:40,,TIMBERWOLVES Timeout: Regular (Full 1 Short 0)
2:40,SUB: Ennis FOR Green,
2:28,Harrison Traveling Turnover (P1.T8),
2:05 14 - 25,,Towns 18' Turnaround Jump Shot (6 PTS)
1:55,MISS Harrison 3' Driving Layup,
1:54,,Towns REBOUND (Off:1 Def:3)
1:48,Randolph S.FOUL (P2.T3) (L.Richardson),
1:48 14 - 26,,Towns Free Throw 1 of 2 (7 PTS)
1:48,,MISS Towns Free Throw 2 of 2
1:48,Ennis REBOUND (Off:0 Def:3),
1:29,MISS Allen 7' Jump Shot,Rush BLOCK (1 BLK)
1:28,Allen REBOUND (Off:1 Def:0),
1:25,MISS Allen 5' Hook Shot,
1:23,Allen REBOUND (Off:2 Def:0),
1:15 16 - 26,Randolph 2' Driving Layup (2 PTS),
1:09 16 - 28,,Wiggins 2' Driving Layup (2 PTS) (Jones 1 AST)
0:59,,SUB: Bjelica FOR Towns
0:50,MISS Harrison 1' Driving Layup,
0:50,,Bjelica REBOUND (Off:0 Def:1)
0:43,,MISS Rush 24' 3PT Jump Shot
0:42,Randolph REBOUND (Off:0 Def:1),
0:35,,Jones P.FOUL (P1.T4) (M.Ervin)
0:27,Harrison Bad Pass Turnover (P2.T9),Dieng STEAL (2 STL)
0:19,Carter STEAL (1 STL),Wiggins Lost Ball Turnover (P1.T6)
0:03,MISS Carter 25' 3PT Jump Shot,
0:02,,Dieng REBOUND (Off:0 Def:3)
0:01,Ennis P.FOUL (P1.PN) (K.Scott),
0:01 16 - 29,,Dieng Free Throw 1 of 2 (5 PTS)
0:01,,MISS Dieng Free Throw 2 of 2
0:01,Randolph REBOUND (Off:0 Def:2),
0:00,MISS Randolph 52' 3PT Jump Shot,
0:00,Grizzlies Rebound,
0:00 16 - 29,,
Start of Q2
11:42,,MISS Rush 17' Pullup Jump Shot
11:41,Ennis REBOUND (Off:0 Def:4),
11:25,MISS Carter 25' 3PT Jump Shot,
11:23,Allen REBOUND (Off:3 Def:0),
11:20,MISS Allen 5' Jump Shot,
11:19,Davis REBOUND (Off:1 Def:0),
11:19 18 - 29,Davis 1' Tip Layup Shot (2 PTS),
11:05,Carter S.FOUL (P1.T1) (L.Richardson),
11:05 18 - 30,,Rush Free Throw 1 of 2 (1 PTS)
11:05,,MISS Rush Free Throw 2 of 2
11:05,Davis REBOUND (Off:1 Def:1),
10:51,Ennis Offensive Charge Foul (P2.T2) (L.Richardson),
10:51,Ennis Foul Turnover (P1.T10),
10:51,,SUB: LaVine FOR Rush
10:35,,MISS Muhammad 7' Driving Bank Shot
10:34,Carter REBOUND (Off:0 Def:2),
10:20,,Bjelica S.FOUL (P1.T1) (M.Ervin)
10:20 19 - 30,Davis Free Throw 1 of 2 (3 PTS),
10:20,,SUB: Aldrich FOR Dieng
10:20 20 - 30,Davis Free Throw 2 of 2 (4 PTS),
10:03 20 - 33,,Bjelica 3PT Jump Shot (3 PTS) (Aldrich 1 AST)
9:56,Ennis Backcourt Turnover (P2.T11),
9:38,,MISS LaVine 24' 3PT Jump Shot
9:37,Carter REBOUND (Off:0 Def:3),
9:29,MISS Ennis 25' 3PT Jump Shot,
9:28,,Jones REBOUND (Off:0 Def:1)
9:19 20 - 35,,Jones 10' Driving Floating Bank Jump Shot (2 PTS) (LaVine 2 AST)
9:04,MISS Harrison 4' Driving Layup,
9:03,,Bjelica REBOUND (Off:0 Def:2)
8:58,Ennis STEAL (2 STL),LaVine Lost Ball Turnover (P3.T7)
8:52 23 - 35,Harrison 24' 3PT Pullup Jump Shot (3 PTS),
8:34,,MISS Muhammad 5' Jump Shot
8:33,Carter REBOUND (Off:0 Def:4),
8:25 26 - 35,Carter 25' 3PT Jump Shot (3 PTS),
8:24,,TIMBERWOLVES Timeout: Regular (Full 2 Short 0)
8:24,SUB: Martin FOR Ennis,
8:24,SUB: Baldwin FOR Carter,
8:07 26 - 37,,Aldrich 6' Hook Shot (2 PTS) (Bjelica 1 AST)
7:54,Allen Lost Ball Turnover (P1.T12),Jones STEAL (1 STL)
7:50 26 - 39,,LaVine 1' Driving Layup (12 PTS) (Jones 2 AST)
7:27,MISS Baldwin 3PT Jump Shot,
7:25,,Muhammad REBOUND (Off:0 Def:1)
7:22,Harrison STEAL (2 STL),Aldrich Bad Pass Turnover (P1.T8)
7:19 28 - 39,Allen Cutting Dunk Shot (2 PTS) (Harrison 1 AST),
6:58,Allen P.FOUL (P1.T3) (M.Ervin),
6:58,SUB: Green FOR Allen,
6:58,SUB: Randolph FOR Davis,
6:58,,SUB: Towns FOR Aldrich
6:58,,SUB: Dieng FOR Bjelica
6:53 28 - 41,,Dieng 19' Jump Shot (7 PTS) (Jones 3 AST)
6:39,MISS Randolph 9' Jump Shot,
6:38,,SUB: Dunn FOR Jones
6:35,,Jump Ball Muhammad vs. Green: Tip to Dunn
6:35,,Muhammad REBOUND (Off:0 Def:2)
6:14,,MISS Towns 4' Jump Shot
6:12,,Muhammad REBOUND (Off:1 Def:2)
6:07 28 - 43,,LaVine 1' Driving Layup (14 PTS) (Towns 2 AST)
5:48 30 - 43,Baldwin 8' Pullup Jump Shot (4 PTS),
5:34,Baldwin STEAL (3 STL),Towns Lost Ball Turnover (P1.T9)
5:14,,Dunn Violation:Kicked Ball (L.Richardson)
5:14,,
5:14,,SUB: Wiggins FOR Muhammad
5:03,MISS Randolph 18' Jump Shot,
