Kevin,Durant,Draymond,Green,Zaza,Pachulia,Klay,Thompson,Stephen,Curry,Andre,Iguodala,Ian,Clark,David,West,Shaun,Livingston,James Michael,McAdoo,Kevon,Looney,JaVale,McGee
Maurice,Harkless,Al-Farouq,Aminu,Mason,Plumlee,CJ,McCollum,Damian,Lillard,Allen,Crabbe,Evan,Turner,Noah,Vonleh,Ed,Davis,Meyers,Leonard,Shabazz,Napier,Pat,Connaughton,Jake,Layman
Start of Q1
12:00,,Jump Ball Plumlee vs. Pachulia: Tip to Green
11:41,MISS Durant 17' Pullup Jump Shot,
11:39,Pachulia REBOUND (Off:1 Def:0),
11:34,MISS Durant 25' 3PT Jump Shot,
11:33,,Plumlee REBOUND (Off:0 Def:1)
11:22,,MISS Plumlee 18' Jump Bank Shot
11:22,Green REBOUND (Off:0 Def:1),
11:15,,Lillard Shooting Block Foul (P1.T1) (D.Taylor)
11:15,MISS Green Free Throw 1 of 2,
11:15,Warriors Rebound,
11:15 1 - 0,Green Free Throw 2 of 2 (1 PTS),
11:02 1 - 2,,Plumlee 2' Cutting Layup Shot (2 PTS) (McCollum 1 AST)
10:48 3 - 2,Pachulia 1' Layup (2 PTS) (Green 1 AST),
10:28,,MISS Lillard 27' 3PT Pullup Jump Shot
10:28,Green REBOUND (Off:0 Def:2),
10:22,Curry Out of Bounds - Bad Pass Turnover Turnover (P1.T1),
10:07 3 - 5,,Lillard 24' 3PT Jump Shot (3 PTS) (Plumlee 1 AST)
9:51,MISS Curry 3PT Jump Shot,
9:51,,Aminu REBOUND (Off:0 Def:1)
9:39 3 - 7,,Lillard 1' Cutting Layup Shot (5 PTS) (Plumlee 2 AST)
9:28 5 - 7,Thompson 3' Alley Oop Layup (2 PTS) (Curry 1 AST),
9:15 5 - 9,,McCollum 15' Pullup Jump Shot (2 PTS)
9:03 7 - 9,Durant 2' Cutting Finger Roll Layup Shot (2 PTS) (Green 2 AST),
8:45,,MISS McCollum 25' 3PT Jump Shot
8:44,Pachulia REBOUND (Off:1 Def:1),
8:37,MISS Curry 27' 3PT Jump Shot,
8:36,,McCollum REBOUND (Off:0 Def:1)
8:31,,MISS Lillard 25' 3PT Pullup Jump Shot
8:30,Green REBOUND (Off:0 Def:3),
8:18,MISS Durant 16' Pullup Jump Shot,
8:17,,Aminu REBOUND (Off:0 Def:2)
8:07 7 - 11,,McCollum 19' Pullup Jump Shot (4 PTS)
7:46,MISS Thompson 12' Turnaround Fadeaway Shot,
7:45,,Aminu REBOUND (Off:0 Def:3)
7:37,,MISS Harkless 3PT Jump Shot
7:36,,Plumlee REBOUND (Off:1 Def:1)
7:32 7 - 14,,Lillard 29' 3PT Jump Shot (8 PTS) (Plumlee 3 AST)
7:31,Warriors Timeout: Regular (Reg.1 Short 0),
7:19 9 - 14,Green 2' Layup (3 PTS) (Pachulia 1 AST),
7:02 9 - 16,,Lillard 19' Pullup Jump Shot (10 PTS) (Plumlee 4 AST)
6:45,MISS Curry 14' Driving Floating Jump Shot,
6:44,,Aminu REBOUND (Off:0 Def:4)
6:37,Green STEAL (1 STL),McCollum Bad Pass Turnover (P1.T1)
6:24 11 - 16,Durant Driving Reverse Dunk Shot (4 PTS),
6:05 11 - 18,,Plumlee 2' Cutting Layup Shot (4 PTS) (Lillard 1 AST)
5:45 13 - 18,Thompson 21' Pullup Jump Shot (4 PTS) (Durant 1 AST),
5:44,,Lillard Out of Bounds Lost Ball Turnover (P1.T2)
5:44,SUB: Iguodala FOR Pachulia,
5:43,,Harkless P.FOUL (P1.T2) (D.Taylor)
5:43,MISS Durant Free Throw 1 of 2,
5:43,Warriors Rebound,
5:43,,SUB: Crabbe FOR Aminu
5:43,,SUB: Turner FOR McCollum
5:43 14 - 18,Durant Free Throw 2 of 2 (5 PTS),
5:28,Durant STEAL (1 STL),Plumlee Lost Ball Turnover (P1.T3)
5:25,Curry Lost Ball Turnover (P2.T2),Plumlee STEAL (1 STL)
5:23 14 - 20,,Lillard 1' Layup (12 PTS)
5:23,Curry S.FOUL (P1.T1) (D.Taylor),
5:23,SUB: Clark FOR Thompson,
5:23 14 - 21,,Lillard Free Throw 1 of 1 (13 PTS)
5:07 17 - 21,Green 25' 3PT Jump Shot (6 PTS) (Durant 2 AST),
4:52,Durant STEAL (2 STL),Plumlee Bad Pass Turnover (P2.T4)
4:41,MISS Durant 25' 3PT Jump Shot,
4:38,Curry REBOUND (Off:1 Def:0),
4:35,Curry Bad Pass Turnover (P3.T3),Turner STEAL (1 STL)
4:26,,MISS Turner 8' Jump Shot
4:25,,Harkless REBOUND (Off:1 Def:0)
4:24 17 - 23,,Harkless 3' Putback Layup (2 PTS)
4:12 19 - 23,Clark 3' Jump Shot (2 PTS) (Green 3 AST),
4:12,,Crabbe S.FOUL (P1.T3) (M.Lindsay)
4:12,SUB: West FOR Durant,
4:12,,SUB: Vonleh FOR Harkless
4:12 20 - 23,Clark Free Throw 1 of 1 (3 PTS),
3:53,,MISS Lillard 6' Jump Shot
3:53,West REBOUND (Off:0 Def:1),
3:44 22 - 23,West 1' Driving Layup (2 PTS),
3:18,Clark STEAL (1 STL),Turner Lost Ball Turnover (P1.T5)
3:11,MISS Iguodala 1' Driving Reverse Layup,
3:10,,Lillard REBOUND (Off:0 Def:1)
3:03,,MISS Vonleh 27' 3PT Jump Shot
3:02,Green REBOUND (Off:0 Def:4),
2:54 25 - 23,Clark 25' 3PT Jump Shot (6 PTS) (Green 4 AST),
