DeMarre,Carroll,Pascal,Siakam,Jonas,Valanciunas,DeMar,DeRozan,Kyle,Lowry,Cory,Joseph,Patrick,Patterson,Terrence,Ross,Jakob,Poeltl,Norman,Powell
Otto,Porter Jr.,Markieff,Morris,Marcin,Gortat,Bradley,Beal,John,Wall,Trey,Burke,Kelly,Oubre Jr.,Andrew,Nicholson,Marcus,Thornton,Tomas,Satoransky
Start of Q1
12:00,,Jump Ball Gortat vs. Valanciunas: Tip to Mark Morris
11:45,,MISS Wall 5' Jump Shot
11:44,Valanciunas REBOUND (Off:0 Def:1),
11:30,MISS DeRozan 15' Jump Shot,
11:30,,Gortat REBOUND (Off:0 Def:1)
11:20 0 - 2,,Beal 16' Pullup Jump Shot (2 PTS)
11:02 2 - 2,Valanciunas 18' Turnaround Jump Shot (2 PTS) (DeRozan 1 AST),
10:40 2 - 5,,Beal 25' 3PT Jump Shot (5 PTS) (Wall 1 AST)
10:12,MISS DeRozan 19' Jump Shot,
10:12,,Gortat REBOUND (Off:0 Def:2)
10:07 2 - 7,,Wall 2' Running Layup (2 PTS) (Gortat 1 AST)
9:45,MISS Valanciunas 1' Layup,Wall BLOCK (1 BLK)
9:43,,Gortat REBOUND (Off:0 Def:3)
9:31,,MISS Gortat 14' Jump Shot
9:30,,Porter Jr. REBOUND (Off:1 Def:0)
9:29 2 - 9,,Porter Jr. 2' Tip Layup Shot (2 PTS)
9:23,Raptors Timeout: Regular (Reg.1 Short 0),
9:10,MISS Carroll 26' 3PT Jump Shot,
9:09,,Porter Jr. REBOUND (Off:1 Def:1)
9:02 2 - 11,,Gortat 1' Cutting Layup Shot (2 PTS) (Wall 2 AST)
8:50,,WIZARDS T.Foul (Def. 3 Sec Mark Morris ) (M.Boland)
8:50,MISS DeRozan Free Throw Technical,
8:50,Raptors Rebound,
8:50,Carroll Bad Pass Turnover (P1.T1),Wall STEAL (1 STL)
8:47,,Wall Step Out of Bounds Turnover (P1.T1)
8:28 5 - 11,Carroll 26' 3PT Jump Shot (3 PTS) (Lowry 1 AST),
8:13,DeRozan P.FOUL (P1.T1) (L.Holtkamp),
8:05 5 - 13,,Beal 16' Step Back Jump Shot (7 PTS)
7:55 7 - 13,Lowry 2' Driving Finger Roll Layup (2 PTS),
7:41,Lowry STEAL (1 STL),Wall Bad Pass Turnover (P2.T2)
7:37,MISS Carroll 3' Layup,Beal BLOCK (1 BLK)
7:37,Raptors Rebound,
7:26 9 - 13,Lowry 1' Layup (4 PTS) (Valanciunas 1 AST),
7:03 9 - 16,,Mark Morris 26' 3PT Pullup Jump Shot (3 PTS)
6:41,MISS Lowry 8' Jump Shot,
6:40,,Porter Jr. REBOUND (Off:1 Def:2)
6:36 9 - 18,,Gortat Alley Oop Dunk (4 PTS) (Wall 3 AST)
6:23,SUB: Joseph FOR Lowry,
6:10 11 - 18,Joseph 6' Driving Floating Bank Jump Shot (2 PTS),
5:55 11 - 20,,Gortat 7' Hook Shot (6 PTS) (Wall 4 AST)
5:28 13 - 20,Siakam 19' Jump Shot (2 PTS) (Joseph 1 AST),
5:10,Siakam S.FOUL (P1.T2) (M.Boland),
5:10 13 - 21,,Beal Free Throw 1 of 2 (8 PTS)
5:10,,MISS Beal Free Throw 2 of 2
5:09,Joseph REBOUND (Off:0 Def:1),
4:53 15 - 21,DeRozan 11' Fadeaway Jumper (2 PTS),
4:37 15 - 23,,Wall 5' Floating Jump Shot (4 PTS)
4:15,MISS Carroll 26' 3PT Jump Shot,
4:14,,Gortat REBOUND (Off:0 Def:4)
4:05 15 - 25,,Porter Jr. Reverse Layup (4 PTS) (Wall 5 AST)
3:45,MISS Siakam 1' Layup,
3:43,,Porter Jr. REBOUND (Off:1 Def:3)
3:39 15 - 27,,Wall 1' Running Layup (6 PTS)
3:32,Raptors Timeout: Short (Reg.1 Short 1),
3:32,SUB: Patterson FOR Siakam,
3:32,,SUB: Burke FOR Wall
3:32,,SUB: Oubre Jr. FOR Porter Jr.
3:32,SUB: Ross FOR Carroll,
3:25,,Burke S.FOUL (P1.T1) (D.Stafford)
3:25,MISS DeRozan Free Throw 1 of 2,
3:25,Raptors Rebound,
3:25 16 - 27,DeRozan Free Throw 2 of 2 (3 PTS),
3:05,,MISS Mark Morris 18' Jump Shot
3:04,DeRozan REBOUND (Off:0 Def:1),
2:56,,Oubre Jr. S.FOUL (P1.T2) (L.Holtkamp)
2:56,,WIZARDS Timeout: Regular (Full 1 Short 0)
2:56,SUB: Poeltl FOR Valanciunas,
2:56,MISS DeRozan Free Throw 1 of 2,
2:56,Raptors Rebound,
2:56 17 - 27,DeRozan Free Throw 2 of 2 (4 PTS),
2:36,Poeltl P.FOUL (P1.T3) (D.Stafford),
2:36,,SUB: Nicholson FOR Gortat
2:31,,Mark Morris Out of Bounds Lost Ball Turnover (P1.T3)
2:20,,Oubre Jr. S.FOUL (P2.T3) (M.Boland)
2:20 18 - 27,DeRozan Free Throw 1 of 2 (5 PTS),
2:20,,SUB: Thornton FOR Beal
2:20 19 - 27,DeRozan Free Throw 2 of 2 (6 PTS),
2:05,,MISS Nicholson 8' Jump Shot
2:04,Poeltl REBOUND (Off:0 Def:1),
1:56 21 - 27,Joseph 14' Fadeaway Jumper (4 PTS),
1:35,Poeltl STEAL (1 STL),Oubre Jr. Bad Pass Turnover (P1.T4)
1:23 23 - 27,Patterson 10' Driving Bank Shot (2 PTS) (DeRozan 2 AST),
0:57,,MISS Nicholson 4' Jump Shot
0:57,,WIZARDS Rebound
0:57,,WIZARDS Turnover: Shot Clock (T#5)
0:44 25 - 27,DeRozan 15' Pullup Jump Shot (8 PTS),
0:29 25 - 29,,Nicholson 7' Floating Jump Shot (2 PTS) (Thornton 1 AST)
0:08 27 - 29,DeRozan Driving Dunk (10 PTS) (Joseph 2 AST),
0:01,Joseph STEAL (1 STL),Burke Lost Ball Turnover (P1.T6)
0:00 27 - 29,,
Start of Q2
11:45,MISS Ross 19' Jump Shot,
11:44,Poeltl REBOUND (Off:1 Def:1),
11:37,MISS Joseph 27' 3PT Jump Shot,
11:36,,Nicholson REBOUND (Off:0 Def:1)
11:12 27 - 31,,Thornton 18' Fadeaway Jumper (2 PTS)
10:52 30 - 31,Ross 24' 3PT Jump Shot (3 PTS) (Powell 1 AST),
10:43,Ross STEAL (1 STL),Burke Lost Ball Turnover (P2.T7)
10:35,,Burke P.FOUL (P2.T1) (L.Holtkamp)
10:25,MISS Ross 3PT Jump Shot,
10:24,,Burke REBOUND (Off:0 Def:1)
10:09 30 - 33,,Nicholson 1' Cutting Layup Shot (4 PTS) (Gortat 2 AST)
10:09,Patterson S.FOUL (P1.T1) (L.Holtkamp),
10:09,,MISS Nicholson Free Throw 1 of 1
10:07,Poeltl REBOUND (Off:1 Def:2),
9:50,,Gortat P.FOUL (P1.T2) (D.Stafford)
9:43,MISS Patterson 26' 3PT Jump Shot,
9:42,,Gortat REBOUND (Off:0 Def:5)
9:37,Ross P.FOUL (P1.T2) (L.Holtkamp),
9:33,Ross STEAL (2 STL),Burke Bad Pass Turnover (P3.T8)
9:29 32 - 33,Ross Running Dunk (5 PTS),
9:29,,WIZARDS Timeout: Regular (Full 2 Short 0)
9:29,,SUB: Wall FOR Burke
9:14,,MISS Thornton 13' Jump Shot
9:13,Poeltl REBOUND (Off:1 Def:3),
9:00,Joseph Bad Pass Turnover (P1.T2),Oubre Jr. STEAL (1 STL)
8:48 32 - 35,,Wall 1' Driving Layup (8 PTS)
8:26,Patterson Offensive Charge Foul (P2.T3) (D.Stafford),
8:26,Patterson Foul Turnover (P1.T3),
8:26,,SUB: Porter Jr. FOR Oubre Jr.
8:26,SUB: Lowry FOR Joseph,
8:14,Poeltl BLOCK (1 BLK),MISS Porter Jr. Layup
8:12,Ross REBOUND (Off:0 Def:1),
7:54 34 - 35,Powell 18' Pullup Jump Shot (2 PTS),
7:35,,Gortat 3 Second Violation Turnover (P1.T9)
7:35,,SUB: Mark Morris FOR Nicholson
7:35,,SUB: Beal FOR Thornton
7:22 37 - 35,Ross 29' 3PT Jump Shot (8 PTS) (Powell 2 AST),
7:10,Lowry S.FOUL (P1.T4) (M.Boland),
7:10 37 - 36,,Wall Free Throw 1 of 2 (9 PTS)
7:10 37 - 37,,Wall Free Throw 2 of 2 (10 PTS)
6:53 40 - 37,Powell 25' 3PT Jump Shot (5 PTS) (Ross 1 AST),
6:39,Lowry STEAL (2 STL),Beal Bad Pass Turnover (P1.T10)
6:33,MISS Lowry 1' Layup,
6:31,Ross REBOUND (Off:1 Def:1),
6:31 42 - 37,Ross 2' Tip Layup Shot (10 PTS),
6:22,Poeltl S.FOUL (P2.PN) (D.Stafford),
6:22 42 - 38,,Wall Free Throw 1 of 2 (11 PTS)
6:22 42 - 39,,Wall Free Throw 2 of 2 (12 PTS)
6:07 45 - 39,Patterson 27' 3PT Jump Shot (5 PTS) (Ross 2 AST),
5:53,Powell STEAL (1 STL),Wall Bad Pass Turnover (P3.T11)
5:48,MISS Lowry 27' 3PT Jump Shot,
5:47,,Wall REBOUND (Off:0 Def:1)
5:36,Poeltl Shooting Block Foul (P3.PN) (L.Holtkamp),
5:36,,
5:36,SUB: Valanciunas FOR Poeltl,
5:36,SUB: DeRozan FOR Ross,
5:36 45 - 40,,Gortat Free Throw 1 of 2 (7 PTS)
5:36,,MISS Gortat Free Throw 2 of 2
5:35,Valanciunas REBOUND (Off:0 Def:2),
5:17,MISS Powell 26' 3PT Jump Shot,
5:16,,Porter Jr. REBOUND (Off:1 Def:4)
4:54,,MISS Gortat 13' Jump Shot
4:53,Valanciunas REBOUND (Off:0 Def:3),
4:32 48 - 40,Patterson 26' 3PT Jump Shot (8 PTS) (Powell 3 AST),
4:13 48 - 42,,Wall 2' Driving Finger Roll Layup (14 PTS)
3:58,MISS DeRozan 16' Jump Shot,
3:58,Raptors Rebound,
3:57,SUB: Carroll FOR Powell,
3:43 50 - 42,Valanciunas 2' Reverse Layup (4 PTS),
3:28,,MISS Wall 27' 3PT Jump Shot
3:27,,Porter Jr. REBOUND (Off:2 Def:4)
3:23 50 - 44,,Porter Jr. 8' Jump Shot (6 PTS)
3:10,MISS Patterson 26' 3PT Jump Shot,
3:09,,Porter Jr. REBOUND (Off:2 Def:5)
2:56,,MISS Beal 27' 3PT Jump Shot
2:55,,Porter Jr. REBOUND (Off:3 Def:5)
2:53 50 - 46,,Porter Jr. 1' Putback Layup (8 PTS)
2:38,MISS DeRozan 6' Jump Shot,Gortat BLOCK (1 BLK)
2:37,,Wall REBOUND (Off:0 Def:2)
2:33 50 - 48,,Porter Jr. 1' Driving Layup (10 PTS) (Wall 6 AST)
2:33,Valanciunas S.FOUL (P1.PN) (L.Holtkamp),
2:33,Raptors Timeout: Regular (Reg.2 Short 1),
2:33,SUB: Siakam FOR Patterson,
2:33 50 - 49,,Porter Jr. Free Throw 1 of 1 (11 PTS)
2:15,MISS DeRozan 15' Jump Shot,
2:14,,Mark Morris REBOUND (Off:0 Def:1)
2:06,Siakam STEAL (1 STL),Porter Jr. Bad Pass Turnover (P1.T12)
1:58,MISS Carroll 27' 3PT Jump Shot,
1:57,,Gortat REBOUND (Off:0 Def:6)
1:49,,MISS Mark Morris 25' 3PT Jump Shot
1:47,,Wall REBOUND (Off:1 Def:2)
1:40,DeRozan S.FOUL (P2.PN) (M.Boland),
1:40 50 - 50,,Gortat Free Throw 1 of 2 (8 PTS)
1:40 50 - 51,,Gortat Free Throw 2 of 2 (9 PTS)
1:21,MISS Carroll 26' 3PT Jump Shot,Beal BLOCK (2 BLK)
1:19,,Porter Jr. REBOUND (Off:3 Def:6)
1:17,Lowry STEAL (3 STL),Porter Jr. Bad Pass Turnover (P2.T13)
