Tobias,Harris,Marcus,Morris,Andre,Drummond,Kentavious,Caldwell-Pope,Ish,Smith,Jon,Leuer,Aron,Baynes,Beno,Udrih,Stanley,Johnson
Rondae,Hollis-Jefferson,Trevor,Booker,Brook,Lopez,Bojan,Bogdanovic,Jeremy,Lin,Justin,Hamilton,Joe,Harris,Luis,Scola,Isaiah,Whitehead,Sean,Kilpatrick
Start of Q1
12:00,,Jump Ball Lopez vs. Drummond: Tip to Harris
11:36 3 - 0,Smith 24' 3PT Jump Shot (3 PTS) (Drummond 1 AST),
11:21 3 - 2,,Lopez Dunk (2 PTS) (Hollis-Jefferson 1 AST)
11:01,MISS Drummond 4' Turnaround Hook Shot,
11:00,,Lopez REBOUND (Off:0 Def:1)
10:55,Harris P.FOUL (P1.T1) (G.Petraitis),
10:50 3 - 4,,Lin 3' Driving Layup (2 PTS)
10:30 5 - 4,Marc Morris 9' Turnaround Fadeaway (2 PTS),
10:19 5 - 6,,Lin 7' Jump Shot (4 PTS)
10:06,Drummond Lost Ball Turnover (P1.T1),Lopez STEAL (1 STL)
10:01,,Lin Traveling Turnover (P1.T1)
9:51,MISS Smith 7' Jump Bank Shot,
9:50,,Booker REBOUND (Off:0 Def:1)
9:42 5 - 9,,Bogdanovic 24' 3PT Jump Shot (3 PTS) (Booker 1 AST)
9:18,Smith Bad Pass Turnover (P1.T2),Booker STEAL (1 STL)
9:08 5 - 11,,Lopez 1' Driving Layup (4 PTS) (Hollis-Jefferson 2 AST)
9:01,Pistons Timeout: Regular (Reg.1 Short 0),
8:55,,Bogdanovic P.FOUL (P1.T1) (M.McCutchen)
8:47,MISS Drummond 6' Hook Shot,
8:46,,Hollis-Jefferson REBOUND (Off:0 Def:1)
8:37 5 - 13,,Lopez 4' Driving Layup (6 PTS)
8:37,Marc Morris S.FOUL (P1.T2) (M.McCutchen),
8:37 5 - 14,,Lopez Free Throw 1 of 1 (7 PTS)
8:19 7 - 14,Marc Morris 13' Jump Shot (4 PTS),
8:07 7 - 16,,Booker 1' Driving Layup (2 PTS)
7:51 10 - 16,Harris 3PT Jump Shot (3 PTS) (Drummond 2 AST),
7:43,Smith S.FOUL (P1.T3) (G.Petraitis),
7:43,,MISS Lopez Free Throw 1 of 2
7:43,,NETS Rebound
7:43 10 - 17,,Lopez Free Throw 2 of 2 (8 PTS)
7:20,MISS Marc Morris 3' Layup,
7:19,Caldwell-Pope REBOUND (Off:1 Def:0),
7:18,MISS Caldwell-Pope 2' Tip Layup Shot,
7:16,Caldwell-Pope REBOUND (Off:2 Def:0),
7:08 12 - 17,Harris 14' Jump Shot (5 PTS) (Marc Morris 1 AST),
6:51 12 - 20,,Lopez 3PT Jump Shot (11 PTS) (Hollis-Jefferson 3 AST)
6:31,,SUB: Hamilton FOR Booker
6:31,,SUB: Harris FOR Bogdanovic
6:31,Caldwell-Pope OFF.Foul (P1) (M.McCutchen),
6:31,Caldwell-Pope Foul Turnover (P1.T3),
6:29 12 - 22,,Lin Cutting Layup Shot (6 PTS) (Lopez 1 AST)
6:16 14 - 22,Caldwell-Pope 2' Layup (2 PTS) (Smith 1 AST),
6:16,,Harris S.FOUL (P1.T2) (G.Petraitis)
6:16 15 - 22,Caldwell-Pope Free Throw 1 of 1 (3 PTS),
6:04,,MISS Hollis-Jefferson 24' 3PT Jump Shot
