Ryan,Anderson,Trevor,Ariza,Clint,Capela,Eric,Gordon,James,Harden,KJ,McDaniels,Sam,Dekker,Montrezl,Harrell,Corey,Brewer,Tyler,Ennis,Kyle,Wiltjer,Bobby,Brown
Carmelo,Anthony,Kristaps,Porzingis,Joakim,Noah,Courtney,Lee,Derrick,Rose,Lance,Thomas,Justin,Holiday,Kyle,O'Quinn,Brandon,Jennings,Maurice,Ndour,Sasha,Vujacic,Ron,Baker,Mindaugas,Kuzminskas
Start of Q1
12:00,,Jump Ball Noah vs. Capela: Tip to Porzingis
11:42 0 - 2,,Lee 7' Running Jump Shot (2 PTS) (Noah 1 AST)
11:29 3 - 2,Anderson 25' 3PT Jump Shot (3 PTS) (Harden 1 AST),
11:10,Capela BLOCK (1 BLK),MISS Noah 2' Driving Layup
11:09,Ariza REBOUND (Off:0 Def:1),
10:55,MISS Harden 24' 3PT Jump Shot,Lee BLOCK (1 BLK)
10:54,,Noah REBOUND (Off:0 Def:1)
10:50 3 - 4,,Lee 1' Layup (4 PTS) (Noah 2 AST)
10:27,MISS Ariza 24' 3PT Jump Shot,
10:26,Capela REBOUND (Off:1 Def:0),
10:20 6 - 4,Anderson 24' 3PT Jump Shot (6 PTS) (Ariza 1 AST),
10:06,,MISS Lee 24' 3PT Jump Shot
10:05,Rockets Rebound,
9:50,MISS Anderson 27' 3PT Jump Shot,
9:49,,Anthony REBOUND (Off:0 Def:1)
9:40,,MISS Anthony 15' Jump Shot
9:39,Gordon REBOUND (Off:0 Def:1),
9:28 8 - 4,Anderson 1' Layup (8 PTS),
9:08 8 - 6,,Rose 10' Jump Shot (2 PTS)
8:58 10 - 6,Harden Driving Dunk (2 PTS),
8:40 10 - 8,,Anthony 2' Layup (2 PTS)
8:30,,Lee S.FOUL (P1.T1) (T.Brothers)
8:30,MISS Harden Free Throw 1 of 3,
8:30,Rockets Rebound,
8:30 11 - 8,Harden Free Throw 2 of 3 (3 PTS),
8:30 12 - 8,Harden Free Throw 3 of 3 (4 PTS),
8:09,Capela STEAL (1 STL),Lee Bad Pass Turnover (P1.T1)
8:01,,Porzingis P.FOUL (P1.T2) (N.Buchert)
7:57,Harden Bad Pass Turnover (P1.T1),Rose STEAL (1 STL)
7:51,,MISS Porzingis 18' Jump Shot
7:50,Ariza REBOUND (Off:0 Def:2),
7:40 15 - 8,Harden 25' 3PT Jump Shot (7 PTS) (Ariza 2 AST),
7:27,Ariza S.FOUL (P1.T1) (N.Buchert),
7:27 15 - 9,,Anthony Free Throw 1 of 2 (3 PTS)
7:27,,SUB: Thomas FOR Noah
7:27 15 - 10,,Anthony Free Throw 2 of 2 (4 PTS)
7:12 18 - 10,Ariza 24' 3PT Jump Shot (3 PTS) (Gordon 1 AST),
6:58,Ariza STEAL (1 STL),Thomas Bad Pass Turnover (P1.T2)
6:49,MISS Harden 27' 3PT Jump Shot,
6:48,,Porzingis REBOUND (Off:0 Def:1)
6:27 18 - 12,,Rose 1' Driving Layup (4 PTS)
6:18,,Rose P.FOUL (P1.T3) (N.Buchert)
6:12,,Thomas S.FOUL (P1.T4) (A.Smith)
6:12 19 - 12,Harden Free Throw 1 of 2 (8 PTS),
6:12 20 - 12,Harden Free Throw 2 of 2 (9 PTS),
5:57,Harden STEAL (1 STL),Anthony Lost Ball Turnover (P1.T3)
5:50 22 - 12,Harden 1' Driving Layup (11 PTS),
5:46,,KNICKS Timeout: Regular (Full 1 Short 0)
5:46,SUB: McDaniels FOR Gordon,
5:29 22 - 14,,Rose 1' Driving Reverse Layup (6 PTS)
5:16 24 - 14,Capela 2' Layup (2 PTS) (Harden 2 AST),
5:04,,Rose Out of Bounds - Bad Pass Turnover Turnover (P1.T4)
4:51,MISS Anderson 25' 3PT Jump Shot,
4:50,,Thomas REBOUND (Off:0 Def:1)
4:39 24 - 17,,Thomas 25' 3PT Jump Shot (3 PTS) (Lee 1 AST)
4:22 26 - 17,Ariza 1' Layup (5 PTS) (Harden 3 AST),
4:07 26 - 19,,Anthony Dunk (6 PTS) (Rose 1 AST)
3:48,MISS Ariza 3PT Jump Shot,
3:47,,Porzingis REBOUND (Off:0 Def:2)
3:41 26 - 21,,Rose 2' Driving Layup (8 PTS)
3:38,Rockets Timeout: Regular (Reg.1 Short 0),
3:38,SUB: Dekker FOR Anderson,
3:38,SUB: Harrell FOR Capela,
3:26,MISS Harden 26' 3PT Jump Shot,
3:25,,Thomas REBOUND (Off:0 Def:2)
3:04,,MISS Anthony 25' 3PT Jump Shot
3:03,Harden REBOUND (Off:0 Def:1),
2:55,,Anthony S.FOUL (P1.PN) (T.Brothers)
2:55,,
2:55,,SUB: Holiday FOR Porzingis
2:55,,SUB: O'Quinn FOR Thomas
2:55,MISS Dekker Free Throw 1 of 2,
2:55,Rockets Rebound,
2:55 27 - 21,Dekker Free Throw 2 of 2 (1 PTS),
2:38,,MISS Rose 12' Jump Shot
2:37,Harden REBOUND (Off:0 Def:2),
2:30,MISS Ariza 17' Jump Shot,
2:29,,O'Quinn REBOUND (Off:0 Def:1)
2:23,,MISS Rose 1' Driving Layup
2:22,Harrell REBOUND (Off:0 Def:1),
2:11 29 - 21,Harrell 5' Jump Shot (2 PTS) (Ariza 3 AST),
1:47,,MISS Rose 4' Jump Shot
1:46,,Rose REBOUND (Off:1 Def:0)
1:43,,MISS Anthony 18' Jump Shot
1:42,Dekker REBOUND (Off:0 Def:1),
1:39,Dekker Out of Bounds Lost Ball Turnover (P1.T2),
1:39,SUB: Brewer FOR Ariza,
1:23,Brewer P.FOUL (P1.T2) (T.Brothers),
1:23,,SUB: Jennings FOR Rose
1:10,,MISS Anthony 6' Jump Shot
1:09,Dekker REBOUND (Off:0 Def:2),
