Solomon,Hill,Dante,Cunningham,Anthony,Davis,E'Twaun,Moore,Tim,Frazier,Lance,Stephenson,Terrence,Jones,Buddy,Hield,Omer,Asik,Langston,Galloway
James,Ennis,JaMychal,Green,Marc,Gasol,Tony,Allen,Mike,Conley,Jarell,Martin,Wade,Baldwin,Vince,Carter,Zach,Randolph
Start of Q1
12:00,,Jump Ball Gasol vs. Davis: Tip to Frazier
11:51,,Green P.FOUL (P1.T1) (K.Lane)
11:36 2 - 0,Moore 10' Floating Jump Shot (2 PTS) (Davis 1 AST),
11:16,S. Hill Shooting Block Foul (P1.T1) (R.Garretson),
11:16 2 - 1,,Ennis Free Throw 1 of 2 (1 PTS)
11:16 2 - 2,,Ennis Free Throw 2 of 2 (2 PTS)
11:03,Davis Out of Bounds Lost Ball Turnover (P1.T1),
10:46 2 - 4,,Green 5' Turnaround Hook Shot (2 PTS) (Gasol 1 AST)
10:35,,GRIZZLIES T.Foul (Def. 3 Sec Ennis ) (K.Lane)
10:35 3 - 4,Davis Free Throw Technical (1 PTS),
10:35,Pelicans Timeout: Regular (Reg.1 Short 0),
10:29,MISS Frazier 27' 3PT Jump Shot,
10:28,,Green REBOUND (Off:0 Def:1)
10:10,,MISS Gasol 16' Jump Shot
10:10,Moore REBOUND (Off:0 Def:1),
10:00,MISS Davis 15' Jump Shot,
10:00,,Gasol REBOUND (Off:0 Def:1)
9:43,,MISS Gasol 5' Turnaround Hook Shot
9:43,,Green REBOUND (Off:1 Def:1)
9:43,S. Hill L.B.FOUL (P2.T2) (J.Tiven),
9:43,SUB: Stephenson FOR S. Hill,
9:32 3 - 6,,Conley 22' Jump Shot (2 PTS) (Green 1 AST)
9:13 5 - 6,Moore 11' Fadeaway Jumper (4 PTS),
9:03,Stephenson S.FOUL (P1.T3) (K.Lane),
9:03 5 - 7,,Allen Free Throw 1 of 2 (1 PTS)
9:03,,MISS Allen Free Throw 2 of 2
9:02,Davis REBOUND (Off:0 Def:1),
8:41,Davis Out of Bounds - Bad Pass Turnover Turnover (P2.T2),
8:26 5 - 9,,Gasol 9' Hook Shot (2 PTS)
8:12,MISS Frazier 6' Driving Floating Jump Shot,Gasol BLOCK (1 BLK)
8:12,Pelicans Rebound,
8:06,MISS Cunningham 27' 3PT Jump Shot,
8:06,,Ennis REBOUND (Off:0 Def:1)
7:58,,Conley OFF.Foul (P1) (J.Tiven)
7:58,,Conley Foul Turnover (P1.T1)
7:45,Cunningham Bad Pass Turnover (P1.T3),Conley STEAL (1 STL)
7:39,Davis BLOCK (1 BLK),MISS Conley 1' Running Layup
7:35,Frazier REBOUND (Off:0 Def:1),
7:23 7 - 9,Frazier 2' Driving Finger Roll Layup (2 PTS),
7:07 7 - 11,,Ennis 1' Cutting Layup Shot (4 PTS) (Green 2 AST)
6:53,MISS Cunningham 25' 3PT Jump Shot,
6:52,,Gasol REBOUND (Off:0 Def:2)
6:45,Frazier Violation:Kicked Ball (.),
6:45,,SUB: Martin FOR Green
6:45,SUB: Jones FOR Cunningham,
6:36 7 - 13,,Martin 1' Cutting Layup Shot (2 PTS) (Gasol 2 AST)
6:23 9 - 13,Davis 6' Driving Floating Jump Shot (3 PTS) (Frazier 1 AST),
6:03,,MISS Allen 2' Cutting Layup Shot
6:01,,Martin REBOUND (Off:1 Def:0)
6:01 9 - 15,,Martin 1' Tip Layup Shot (4 PTS)
5:57,Pelicans Timeout: Regular (Reg.2 Short 0),
5:57,,SUB: Baldwin FOR Allen
5:57,,SUB: Carter FOR Conley
5:37,MISS Jones 4' Jump Bank Shot,
5:34,,Gasol REBOUND (Off:0 Def:3)
5:23,,MISS Gasol 22' Jump Shot
5:23,Stephenson REBOUND (Off:0 Def:1),
5:04,MISS Davis 15' Pullup Jump Shot,
5:02,,Ennis REBOUND (Off:0 Def:2)
4:44,,MISS Carter 26' 3PT Jump Shot
4:43,Moore REBOUND (Off:0 Def:2),
4:38,MISS Stephenson 20' Running Jump Shot,
4:36,,Martin REBOUND (Off:1 Def:1)
4:22 9 - 17,,Ennis Cutting Layup Shot (6 PTS) (Gasol 3 AST)
4:12,,Baldwin S.FOUL (P1.T2) (J.Tiven)
4:12 10 - 17,Frazier Free Throw 1 of 2 (3 PTS),
4:12 11 - 17,Frazier Free Throw 2 of 2 (4 PTS),
3:48,,MISS Gasol 27' 3PT Jump Shot
3:48,,GRIZZLIES Rebound
3:48,,GRIZZLIES Turnover: Shot Clock (T#2)
3:48,SUB: Hield FOR Frazier,
3:33,MISS Davis 8' Driving Floating Jump Shot,
3:31,,Carter REBOUND (Off:0 Def:1)
3:25,Davis BLOCK (2 BLK),MISS Gasol 2' Cutting Layup Shot
3:25,,GRIZZLIES Rebound
3:25,,SUB: Randolph FOR Gasol
3:25,,SUB: Conley FOR Ennis
3:19,,MISS Randolph 17' Jump Shot
3:18,Davis REBOUND (Off:0 Def:2),
3:13,Stephenson Offensive Charge Foul (P2.T4) (K.Lane),
3:13,Stephenson Foul Turnover (P1.T4),
2:57,,MISS Randolph 17' Fadeaway Jumper
2:56,Hield REBOUND (Off:0 Def:1),
2:48,Hield Bad Pass Turnover (P1.T5),Martin STEAL (1 STL)
2:42 11 - 19,,Baldwin 1' Running Layup (2 PTS) (Carter 1 AST)
2:28,Jones Out of Bounds - Bad Pass Turnover Turnover (P1.T6),
2:16 11 - 21,,Baldwin 13' Pullup Jump Shot (4 PTS)
2:01 13 - 21,Stephenson 2' Driving Layup (2 PTS),
1:51,,Conley Out of Bounds Lost Ball Turnover (P2.T3)
1:51,SUB: Asik FOR Davis,
1:34,MISS Hield 26' 3PT Jump Shot,
1:33,,Baldwin REBOUND (Off:0 Def:1)
1:26,,MISS Conley 27' 3PT Jump Shot
1:24,Asik REBOUND (Off:0 Def:1),
1:13,MISS Moore 3PT Jump Shot,
1:13,,Martin REBOUND (Off:1 Def:2)
1:05,,MISS Baldwin 17' Pullup Jump Shot
1:02,Asik REBOUND (Off:0 Def:2),
0:55,MISS Stephenson 19' Pullup Jump Shot,
0:53,,Randolph REBOUND (Off:0 Def:1)
0:45,Moore BLOCK (1 BLK),MISS Randolph 8' Floating Jump Shot
0:42,,Randolph REBOUND (Off:1 Def:1)
0:41,,MISS Randolph 5' Hook Shot
0:39,Jones REBOUND (Off:0 Def:1),
0:34,Moore Traveling Turnover (P1.T7),
0:32,,GRIZZLIES Timeout: Short (Full 0 Short 1)
0:32,SUB: Galloway FOR Moore,
0:17,,MISS Carter 26' 3PT Jump Shot
0:17,Asik REBOUND (Off:0 Def:3),
0:04,,Carter P.FOUL (P1.T3) (R.Garretson)
0:02,Jones Bad Pass Turnover (P2.T8),Martin STEAL (2 STL)
0:00,,MISS Martin 55' 3PT Jump Shot
0:00,,GRIZZLIES Rebound
0:00 13 - 21,,
Start of Q2
11:44,,Carter Out of Bounds - Bad Pass Turnover Turnover (P1.T4)
11:34,MISS Galloway 21' Jump Shot,
11:34,,Randolph REBOUND (Off:1 Def:2)
11:24 13 - 23,,Conley 16' Pullup Jump Shot (4 PTS)
11:07,MISS Galloway 26' 3PT Jump Shot,
11:07,Jones REBOUND (Off:1 Def:1),
11:01 15 - 23,Stephenson Driving Dunk (4 PTS) (Hield 1 AST),
10:44,,Randolph Out of Bounds - Bad Pass Turnover Turnover (P1.T5)
10:27,MISS Galloway 22' Jump Shot,
10:26,,Randolph REBOUND (Off:1 Def:3)
10:17,,MISS Randolph 12' Jump Shot
10:17,Asik REBOUND (Off:0 Def:4),
9:58 18 - 23,Hield 26' 3PT Jump Shot (3 PTS),
9:35,,MISS Randolph 13' Jump Shot
9:35,Jones REBOUND (Off:1 Def:2),
9:27,MISS Galloway 3PT Running Jump Shot,
9:25,,Randolph REBOUND (Off:1 Def:4)
9:16,,MISS Randolph 6' Turnaround Bank Shot
9:15,Jones REBOUND (Off:1 Def:3),
9:15,,Randolph P.FOUL (P1.T1) (J.Tiven)
9:15,,SUB: Allen FOR Carter
9:01,MISS Jones 14' Jump Shot,
9:01,,Randolph REBOUND (Off:1 Def:5)
8:56,,GRIZZLIES Timeout: Regular (Full 1 Short 1)
8:48,,MISS Conley 22' Jump Shot
8:48,Pelicans Rebound,
8:40,,Randolph P.FOUL (P2.T2) (K.Lane)
