Andre,Roberson,Domantas,Sabonis,Steven,Adams,Victor,Oladipo,Russell,Westbrook,Enes,Kanter,Anthony,Morrow,Kyle,Singler,Joffrey,Lauvergne,Semaj,Christon,Jerami,Grant,Nick,Collison,Alex,Abrines
Luc,Mbah a Moute,Blake,Griffin,DeAndre,Jordan,JJ,Redick,Chris,Paul,Brandon,Bass,Austin,Rivers,Jamal,Crawford,Raymond,Felton,Marreese,Speights,Wesley,Johnson
Start of Q1
12:00,,Jump Ball Jordan vs. Adams: Tip to Paul
11:34,,MISS Paul 26' 3PT Jump Shot
11:33,,CLIPPERS Rebound
11:24,,MISS Redick 26' 3PT Jump Shot
11:23,Adams REBOUND (Off:0 Def:1),
11:04 3 - 0,Oladipo 27' 3PT Jump Shot (3 PTS) (Westbrook 1 AST),
10:48,Sabonis P.FOUL (P1.T1) (T.Washington),
10:32 3 - 2,,Redick 2' Driving Layup (2 PTS)
10:07 6 - 2,Sabonis 27' 3PT Jump Shot (3 PTS) (Westbrook 2 AST),
9:53,Adams STEAL (1 STL),Jordan Bad Pass Turnover (P1.T1)
9:45,MISS Oladipo 27' 3PT Jump Shot,
9:44,,Mbah a Moute REBOUND (Off:0 Def:1)
9:33,,MISS Griffin 19' Jump Shot
9:31,Roberson REBOUND (Off:0 Def:1),
9:20,MISS Adams 9' Fadeaway Jumper,Griffin BLOCK (1 BLK)
9:17,,Redick REBOUND (Off:0 Def:1)
9:16,Sabonis S.FOUL (P2.T2) (T.Washington),
9:16,,MISS Mbah a Moute Free Throw 1 of 2
9:16,,CLIPPERS Rebound
9:16 6 - 3,,Mbah a Moute Free Throw 2 of 2 (1 PTS)
9:03 8 - 3,Westbrook 18' Pullup Jump Shot (2 PTS),
8:49,,MISS Mbah a Moute 24' 3PT Jump Shot
8:48,Roberson REBOUND (Off:0 Def:2),
8:39,MISS Sabonis 26' 3PT Jump Shot,
8:38,Thunder Rebound,
8:38,,Griffin L.B.FOUL (P1.T1) (T.Washington)
8:31,MISS Oladipo 20' Pullup Jump Shot,
8:28,,Paul REBOUND (Off:0 Def:1)
8:21,Roberson P.FOUL (P1.T3) (T.Maddox),
8:16,Sabonis P.FOUL (P3.T4) (R.Mott),
8:16,SUB: Kanter FOR Sabonis,
8:05 8 - 5,,Jordan Alley Oop Dunk (2 PTS) (Griffin 1 AST)
7:53,Westbrook Bad Pass Turnover (P1.T1),Paul STEAL (1 STL)
7:48,Roberson BLOCK (1 BLK),MISS Paul 3' Running Layup
7:43,Oladipo REBOUND (Off:0 Def:1),
7:39,MISS Westbrook 27' 3PT Jump Shot,
7:35,Kanter REBOUND (Off:1 Def:0),
7:30 10 - 5,Kanter 2' Layup (2 PTS),
7:21,,MISS Redick 17' Step Back Jump Shot
7:19,Oladipo REBOUND (Off:0 Def:2),
7:14 12 - 5,Oladipo 12' Jump Shot (5 PTS),
7:14,,Griffin S.FOUL (P2.T2) (T.Washington)
