203109,Jae,Crowder,101161,Amir,Johnson,203092,Tyler,Zeller,202340,Avery,Bradley,202738,Isaiah,Thomas,203935,Marcus,Smart,1627759,Jaylen,Brown,1626175,Jordan,Mickey,201973,Jonas,Jerebko,1626179,Terry,Rozier,203923,James,Young,101123,Gerald,Green
202710,Jimmy,Butler,201959,Taj,Gibson,201577,Robin,Lopez,2548,Dwyane,Wade,200765,Rajon,Rondo,202703,Nikola,Mirotic,203477,Isaiah,Canaan,1626245,Cristiano,Felicio,1627756,Denzel,Valentine,1626170,Jerian,Grant,1626171,Bobby,Portis
Start of 1st Quarter
12:00,0-0,BOS,101161,amir,johnson,Jump Ball Johnson vs Lopez (Gibson gains possession)
11:35,0-2,CHI,201959,taj,gibson,[CHI 2-0] Gibson Driving Floating Jump Shot: Made (2 PTS) Assist: Wade (1 AST)
11:17,2-2,BOS,202340,avery,bradley,[BOS 2-2] Bradley Driving Floating Jump Shot: Made (2 PTS)
11:05,2-2,CHI,200765,rajon,rondo,[CHI] Rondo Driving Reverse Layup Shot: Missed
11:03,2-2,CHI,201577,robin,lopez,[CHI] Lopez Rebound (Off:1 Def:0)
11:03,2-4,CHI,201577,robin,lopez,[CHI 4-2] Lopez Putback Dunk Shot: Made (2 PTS)
10:51,2-4,BOS,203092,tyler,zeller,[BOS] Zeller Cutting Layup Shot: Missed Block: Lopez (1 BLK)
10:50,2-4,CHI,201959,taj,gibson,[CHI] Gibson Rebound (Off:0 Def:1)
10:42,2-6,CHI,200765,rajon,rondo,[CHI 6-2] Rondo Driving Finger Roll Layup Shot: Made (2 PTS)
10:32,5-6,BOS,202738,isaiah,thomas,[BOS 5-6] Thomas 3pt Shot: Made (3 PTS) Assist: Johnson (1 AST)
10:16,5-8,CHI,201577,robin,lopez,[CHI 8-5] Lopez Turnaround Hook Shot: Made (4 PTS) Assist: Rondo (1 AST)
10:03,5-8,BOS,202340,avery,bradley,[BOS] Bradley Jump Shot: Missed
10:02,5-8,CHI,200765,rajon,rondo,[CHI] Rondo Rebound (Off:0 Def:1)
09:57,5-8,CHI,202710,jimmy,butler,[CHI] Butler 3pt Shot: Missed
09:56,5-8,BOS,203109,jae,crowder,[BOS] Crowder Rebound (Off:0 Def:1)
09:43,5-8,BOS,203109,jae,crowder,[BOS] Crowder Layup Shot: Missed
09:42,5-8,CHI,201577,robin,lopez,[CHI] Lopez Rebound (Off:1 Def:1)
09:38,5-8,CHI,202710,jimmy,butler,[CHI] Butler Layup Shot: Missed
09:37,5-8,CHI,201959,taj,gibson,[CHI] Gibson Rebound (Off:1 Def:1)
09:37,5-8,CHI,201959,taj,gibson,[CHI] Gibson Tip Layup Shot: Missed
09:36,5-8,CHI,202710,jimmy,butler,[CHI] Butler Rebound (Off:1 Def:0)
09:35,5-10,CHI,202710,jimmy,butler,[CHI 10-5] Butler Putback Layup Shot: Made (2 PTS)
09:33,5-10,BOS,,,,[BOS] Team Timeout : Regular
09:20,5-10,BOS,202340,avery,bradley,[BOS] Bradley Jump Shot: Missed
09:19,5-10,BOS,203092,tyler,zeller,[BOS] Zeller Rebound (Off:1 Def:0)
09:18,7-10,BOS,203092,tyler,zeller,[BOS 7-10] Zeller Layup Shot: Made (2 PTS)
08:53,7-10,CHI,202710,jimmy,butler,[CHI] Butler Fadeaway Jump Shot: Missed
08:52,7-10,BOS,203109,jae,crowder,[BOS] Crowder Rebound (Off:0 Def:2)
08:45,10-10,BOS,202340,avery,bradley,[BOS 10-10] Bradley 3pt Shot: Made (5 PTS)
08:27,10-10,BOS,203092,tyler,zeller,[BOS] Zeller Foul: Shooting (1 PF) (2 FTA) (K Mauer)
